Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,29851803.108976693,29851803.108976693,0.0,0.0 
 01/21  02:00:00,29905803.108976693,29905803.108976693,0.0,0.0 
 01/21  03:00:00,29905803.108976693,29905803.108976693,0.0,0.0 
 01/21  04:00:00,29851803.108976693,29851803.108976693,0.0,0.0 
 01/21  05:00:00,29863803.108976693,29863803.108976693,0.0,0.0 
 01/21  06:00:00,29863803.108976693,29863803.108976693,0.0,0.0 
 01/21  07:00:00,39588063.10897668,39588063.10897668,0.0,0.0 
 01/21  08:00:00,27126273.108976686,27126273.108976686,0.0,0.0 
 01/21  09:00:00,21186663.108976716,21186663.108976716,0.0,0.0 
 01/21  10:00:00,21204663.108976716,21204663.108976716,0.0,0.0 
 01/21  11:00:00,21132663.108976716,21132663.108976716,0.0,0.0 
 01/21  12:00:00,21144663.108976716,21144663.108976716,0.0,0.0 
 01/21  13:00:00,21246663.108976716,21246663.108976716,0.0,0.0 
 01/21  14:00:00,21252663.108976716,21252663.108976716,0.0,0.0 
 01/21  15:00:00,21138663.108976716,21138663.108976716,0.0,0.0 
 01/21  16:00:00,21222663.108976716,21222663.108976716,0.0,0.0 
 01/21  17:00:00,25603323.108976716,25603323.108976716,0.0,0.0 
 01/21  18:00:00,40038063.10897668,40038063.10897668,0.0,0.0 
 01/21  19:00:00,40746063.10897668,40746063.10897668,0.0,0.0 
 01/21  20:00:00,32379183.10897669,32379183.10897669,0.0,0.0 
 01/21  21:00:00,32379183.10897669,32379183.10897669,0.0,0.0 
 01/21  22:00:00,32373183.10897669,32373183.10897669,0.0,0.0 
 01/21  23:00:00,32409183.10897669,32409183.10897669,0.0,0.0 
 01/21  24:00:00,32403183.10897669,32403183.10897669,0.0,0.0 
 07/21  01:00:00,420344752.7829481,420344752.782948,152517470.7542746,224813060.55296675 
 07/21  02:00:00,420434752.7829481,420434752.782948,152517470.7542746,224813060.55296675 
 07/21  03:00:00,420434752.7829481,420434752.7829481,152517470.7542746,224813060.55296675 
