Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,29652226.751137429,29652226.751137429,0.0,0.0 
 01/21  02:00:00,29760226.751137429,29760226.751137429,0.0,0.0 
 01/21  03:00:00,29700226.751137429,29700226.751137429,0.0,0.0 
 01/21  04:00:00,29700226.751137429,29700226.751137429,0.0,0.0 
 01/21  05:00:00,29646226.751137429,29646226.751137429,0.0,0.0 
 01/21  06:00:00,29652226.751137429,29652226.751137429,0.0,0.0 
 01/21  07:00:00,39298486.75113742,39298486.75113742,0.0,0.0 
 01/21  08:00:00,29258026.751137414,29258026.751137414,0.0,0.0 
 01/21  09:00:00,21005086.751137448,21005086.751137448,0.0,0.0 
 01/21  10:00:00,21011086.75113745,21011086.75113745,0.0,0.0 
 01/21  11:00:00,20993086.75113745,20993086.75113745,0.0,0.0 
 01/21  12:00:00,20969086.75113745,20969086.75113745,0.0,0.0 
 01/21  13:00:00,20951086.751137448,20951086.751137448,0.0,0.0 
 01/21  14:00:00,20963086.751137448,20963086.751137448,0.0,0.0 
 01/21  15:00:00,21035086.751137448,21035086.751137448,0.0,0.0 
 01/21  16:00:00,21059086.751137448,21059086.751137448,0.0,0.0 
 01/21  17:00:00,20987086.75113745,20987086.75113745,0.0,0.0 
 01/21  18:00:00,25349746.751137448,25349746.751137448,0.0,0.0 
 01/21  19:00:00,40588486.75113741,40588486.75113741,0.0,0.0 
 01/21  20:00:00,32173606.751137426,32173606.751137426,0.0,0.0 
 01/21  21:00:00,32251606.751137426,32251606.751137426,0.0,0.0 
 01/21  22:00:00,32209606.751137426,32209606.751137426,0.0,0.0 
 01/21  23:00:00,32191606.751137426,32191606.751137426,0.0,0.0 
 01/21  24:00:00,32251606.751137426,32251606.751137426,0.0,0.0 
 07/21  01:00:00,420800717.6878884,420800717.68788829,152517470.7542746,224813060.55296675 
 07/21  02:00:00,421280717.6878884,421280717.68788829,152517470.7542746,224813060.55296675 
 07/21  03:00:00,421298717.6878884,421298717.68788829,152517470.7542746,224813060.55296675 
 07/21  04:00:00,421322717.6878884,421322717.6878882,152517470.7542746,224813060.55296675 
 07/21  05:00:00,421310717.6878884,421310717.6878882,152517470.7542746,224813060.55296675 
 07/21  06:00:00,418260504.00351867,418260504.00351867,151690649.25224645,224813060.55296675 
 07/21  07:00:00,389046619.2981865,389046619.2981865,126362702.63622755,224813060.55296675 
 07/21  08:00:00,386383893.3446718,386383893.3446717,120208349.70381399,224813060.55296675 
 07/21  09:00:00,386455647.4333601,386455647.43336,119991185.40467149,224813060.55296675 
 07/21  10:00:00,386754220.97889277,386754220.97889277,119991185.40467149,224813060.55296675 
 07/21  11:00:00,386720430.29156306,386720430.29156306,119991185.40467149,224813060.55296675 
 07/21  12:00:00,386335424.70068177,386335424.7006817,119991185.40467149,224813060.55296675 
 07/21  13:00:00,385887486.0435543,385887486.0435543,119991185.40467149,224813060.55296675 
 07/21  14:00:00,386454676.42404499,386454676.42404499,119991185.40467149,224813060.55296675 
 07/21  15:00:00,387334441.729665,387334441.7296649,119991185.40467149,224813060.55296675 
 07/21  16:00:00,387732285.15191599,387732285.1519159,119991185.40467149,224813060.55296675 
 07/21  17:00:00,387550874.29488047,387550874.29488047,119991185.40467149,224813060.55296675 
 07/21  18:00:00,386898319.5782226,386898319.5782225,120173611.6106496,224813060.55296675 
 07/21  19:00:00,390667206.87975046,390667206.87975046,125624200.24904058,224813060.55296675 
 07/21  20:00:00,421599870.5178731,421599870.5178731,151287087.15344776,224813060.55296675 
 07/21  21:00:00,426945597.4077057,426945597.4077057,152517470.7542746,224813060.55296675 
 07/21  22:00:00,426920057.0472853,426920057.04728528,152517470.7542746,224813060.55296675 
 07/21  23:00:00,423766097.6878884,423766097.6878884,152517470.7542746,224813060.55296675 
 07/21  24:00:00,423562097.6878884,423562097.68788829,152517470.7542746,224813060.55296675 
 06/01  01:00:00,78535905.2537275,78535905.2537275,7625873.53771374,33399901.50135806 
 06/01  02:00:00,77665905.2537275,77665905.2537275,7625873.53771374,33399901.50135806 
 06/01  03:00:00,75913905.25372751,75913905.25372751,7625873.53771374,33399901.50135806 
 06/01  04:00:00,75241905.25372751,75241905.25372751,7625873.53771374,33399901.50135806 
 06/01  05:00:00,75601905.25372751,75601905.25372751,7625873.53771374,33399901.50135806 
 06/01  06:00:00,70559081.61782396,70559081.61782395,7355176.901810153,33399901.50135806 
 06/01  07:00:00,76171028.67987827,76171028.67987827,5286639.556488497,41385398.908734139 
 06/01  08:00:00,76703184.96410749,76703184.96410749,5176795.840717642,41385398.908734139 
 06/01  09:00:00,76645962.67082957,76645962.67082957,5173573.547439724,41385398.908734139 
 06/01  10:00:00,76639962.67082957,76639962.67082957,5173573.547439724,41385398.908734139 
 06/01  11:00:00,76549962.67082957,76549962.67082957,5173573.547439724,41385398.908734139 
 06/01  12:00:00,76417962.67082957,76417962.67082957,5173573.547439724,41385398.908734139 
 06/01  13:00:00,76483962.67082957,76483962.67082957,5173573.547439724,41385398.908734139 
 06/01  14:00:00,76759962.67082957,76759962.67082957,5173573.547439724,41385398.908734139 
 06/01  15:00:00,76681962.67082957,76681962.67082957,5173573.547439724,41385398.908734139 
 06/01  16:00:00,76285962.67082957,76285962.67082957,5173573.547439724,41385398.908734139 
 06/01  17:00:00,76291962.67082957,76291962.67082957,5173573.547439724,41385398.908734139 
 06/01  18:00:00,76305476.84232332,76305476.84232332,5187087.718933523,41385398.908734139 
 06/01  19:00:00,68892704.67099275,68892704.67099275,6443812.954978992,33399901.50135806 
 06/01  20:00:00,77680962.68374583,77680962.68374583,7572506.967732079,33399901.50135806 
 06/01  21:00:00,81279285.25372748,81279285.25372748,7625873.53771374,33399901.50135806 
 06/01  22:00:00,81393285.25372748,81393285.25372748,7625873.53771374,33399901.50135806 
 06/01  23:00:00,81501285.25372748,81501285.25372748,7625873.53771374,33399901.50135806 
 06/01  24:00:00,81453285.25372748,81453285.25372748,7625873.53771374,33399901.50135806 
 06/02  01:00:00,90695205.75418005,90695205.75418005,7625873.53771374,44533202.00181081 
 06/02  02:00:00,90611205.75418005,90611205.75418005,7625873.53771374,44533202.00181081 
 06/02  03:00:00,90479205.75418005,90479205.75418005,7625873.53771374,44533202.00181081 
 06/02  04:00:00,89813205.75418005,89813205.75418005,7625873.53771374,44533202.00181081 
 06/02  05:00:00,89231205.75418005,89231205.75418005,7625873.53771374,44533202.00181081 
 06/02  06:00:00,91172539.33069745,91172539.33069745,14699334.114230935,44533202.00181081 
 06/02  07:00:00,96050116.34480936,96050116.34480936,10566594.251841579,55180531.87831209 
 06/02  08:00:00,159622858.2607472,159622858.2607472,31055941.604388983,95796493.41677362 
 06/02  09:00:00,334006568.2399236,334006568.2399236,93124323.85391505,204227663.7591696 
 06/02  10:00:00,303824702.50189158,303824702.5018916,93124323.85391505,174055806.61631225 
 06/02  11:00:00,296290160.9917118,296290160.9917118,93124323.85391505,167093070.3525762 
 06/02  12:00:00,303741113.1741699,303741113.1741699,93124323.85391505,174055806.61631225 
 06/02  13:00:00,308197453.9851153,308197453.9851153,93124323.85391505,177667514.30607493 
 06/02  14:00:00,310815885.3638022,310815885.3638022,93124323.85391505,179858086.83609239 
 06/02  15:00:00,298610204.9790521,298610204.9790521,93124323.85391505,167093070.3525762 
 06/02  16:00:00,299027559.6109879,299027559.61098787,93124323.85391505,167093070.3525762 
 06/02  17:00:00,310095103.6109064,310095103.6109065,93124323.85391505,177537174.74818046 
 06/02  18:00:00,230594117.46396173,230594117.46396167,51901102.52357059,140923939.57316477 
 06/02  19:00:00,135572597.15923319,135572597.1592332,32385893.482226559,69106004.40578471 
 06/02  20:00:00,138418603.69040085,138418603.69040085,38843637.25561744,59822356.054136309 
 06/02  21:00:00,128037866.33051567,128037866.3305161,26303943.895732464,59822356.054136309 
 06/02  22:00:00,122349985.9887001,122349985.9887001,26303943.895732464,55180531.87831209 
 06/02  23:00:00,109792014.04083409,109792014.04083409,13151971.947866232,55180531.87831209 
 06/02  24:00:00,103216028.06690096,103216028.06690096,6575985.973933116,55180531.87831209 
