Date/Time,Inlet water temp setpoints,Actual inlet water temperature,Utility rates,Date/Time,Inlet water temp setpoints,Cooling energy consumption,Zone Mean Air Temperature,,Date/Time,PCM layer phase fraction,PCM layer temp,Freezing Point,Melting Point
 06/01  01:00:00,15,15,1, 06/01  01:00:00,15,0,23.94897755,, 06/01  01:00:00,0.994458166,23.25822119,18,21
 06/01  02:00:00,15,15,1, 06/01  02:00:00,15,0,23.83577489,, 06/01  02:00:00,0.996508267,23.48450056,18,21
 06/01  03:00:00,15,15,1, 06/01  03:00:00,15,0,23.67163132,, 06/01  03:00:00,0.997139791,23.58111889,18,21
 06/01  04:00:00,15,15,1, 06/01  04:00:00,15,0,23.567374,, 06/01  04:00:00,0.997174163,23.55543965,18,21
 06/01  05:00:00,15,15,1, 06/01  05:00:00,15,0,23.57460696,, 06/01  05:00:00,0.997173331,23.50247222,18,21
 06/01  06:00:00,15,15,1, 06/01  06:00:00,15,0,23.44577083,, 06/01  06:00:00,0.997172323,23.44520935,18,21
 06/01  07:00:00,10,9.932192552,2, 06/01  07:00:00,10,6633.428405,23.46368165,, 06/01  07:00:00,0.994839769,21.4909139,18,21
 06/01  08:00:00,10,9.932211153,2, 06/01  08:00:00,10,6633.428405,23.14716766,, 06/01  08:00:00,0.904616164,18.95934098,18,21
 06/01  09:00:00,10,9.932228954,2, 06/01  09:00:00,10,6633.428405,23.11720931,, 06/01  09:00:00,0.643389751,18.19254206,18,21
 06/01  10:00:00,10,9.932236476,2, 06/01  10:00:00,10,6633.428405,23.23519592,, 06/01  10:00:00,0.216272284,17.50941706,18,21
 06/01  11:00:00,10,9.932236476,2, 06/01  11:00:00,10,6633.428405,23.32659774,, 06/01  11:00:00,0.021599795,16.2910327,18,21
 06/01  12:00:00,10,9.932236476,2, 06/01  12:00:00,10,6633.428405,23.34402255,, 06/01  12:00:00,0.00187444,15.18196978,18,21
 06/01  13:00:00,10,9.932236476,2, 06/01  13:00:00,10,6633.428405,23.38371517,, 06/01  13:00:00,0,14.50426664,18,21
 06/01  14:00:00,10,9.932236476,2, 06/01  14:00:00,10,6633.428405,23.43583002,, 06/01  14:00:00,0,14.13417591,18,21
 06/01  15:00:00,10,9.932236476,2, 06/01  15:00:00,10,6633.428405,23.39239105,, 06/01  15:00:00,0,13.94522402,18,21
 06/01  16:00:00,15,15,3, 06/01  16:00:00,15,0,23.58428897,, 06/01  16:00:00,5.55813E-05,15.68279174,18,21
 06/01  17:00:00,15,15,3, 06/01  17:00:00,15,0,24.33978317,, 06/01  17:00:00,0.010036293,18.66736429,18,21
 06/01  18:00:00,15,15,3, 06/01  18:00:00,15,0,24.61947965,, 06/01  18:00:00,0.137443509,20.28978746,18,21
 06/01  19:00:00,15,15,3, 06/01  19:00:00,15,0,24.36205559,, 06/01  19:00:00,0.390617665,20.8666405,18,21
 06/01  20:00:00,15,15,3, 06/01  20:00:00,15,0,24.08491013,, 06/01  20:00:00,0.635932569,21.16488171,18,21
 06/01  21:00:00,15,15,2, 06/01  21:00:00,15,0,23.95904081,, 06/01  21:00:00,0.805369441,21.48311884,18,21
 06/01  22:00:00,15,15,2, 06/01  22:00:00,15,0,23.99956667,, 06/01  22:00:00,0.917064778,21.9186355,18,21
 06/01  23:00:00,15,15,1, 06/01  23:00:00,15,0,24.05252731,, 06/01  23:00:00,0.970793801,22.44323072,18,21
 06/01  24:00:00,15,15,1, 06/01  24:00:00,15,0,24.02957617,, 06/01  24:00:00,0.988984644,22.92249825,18,21
