Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Each Call),Environment:Site Daylight Saving Time Status [](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Each Call),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call) 
 01/21  00:01:00,-6.3,,18.955432177701053,13.414419103783827,0.0,0.0,13.92286957,13.92286957,20162.95700159366,0.0 
 01/21  00:02:00,-6.3,,18.97039372998118,13.414200320791816,0.0,0.0,13.92286957,13.92286957,20027.954991412873,0.0 
 01/21  00:03:00,-6.3,,18.98933468008885,13.413980117001476,0.0,0.0,13.92286957,13.92286957,19833.952959684637,0.0 
 01/21  00:04:00,-6.3,,19.011688541262069,13.4137591574147,0.0,0.0,13.92286957,13.92286957,19588.35125105498,0.0 
 01/21  00:05:00,-6.3,,19.036018333262154,13.413538156566692,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:06:00,-6.3,,19.060162056945527,13.4133178406086,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:07:00,-6.3,,19.082059671661125,13.413098908498843,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:08:00,-6.3,,19.100312342773046,13.412881995557254,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:09:00,-6.3,,19.11427089616962,13.412667642550075,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:10:00,-6.3,,19.123855959671233,13.412456272376158,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:11:00,-6.3,,19.12932508885241,13.412248175690627,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:12:00,-6.3,,19.131091707161056,13.412043505076035,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:13:00,-6.3,,19.129614458236856,13.41184227682889,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:14:00,-6.3,,19.12533985912419,13.411644378914783,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:15:00,-6.3,,19.118676718699555,13.411449583454579,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:16:00,-6.3,,19.10998711594129,13.411257562146961,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:17:00,-6.3,,19.09958541833968,13.411067903218897,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:18:00,-6.3,,19.08774106521585,13.410880128750364,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:19:00,-6.3,,19.074683005552715,13.410693711492736,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:20:00,-6.3,,19.06060469317665,13.41050809055648,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:21:00,-6.3,,19.04566903986584,13.410322686832972,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:22:00,-6.3,,19.030013008559718,13.410136920520575,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:23:00,-6.3,,19.01375170383707,13.409950231132603,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:24:00,-6.3,,18.996981920229037,13.409762099084345,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:25:00,-6.3,,18.980593893135727,13.409572067943039,0.0,0.0,13.92286957,13.92286957,19489.191745641852,0.0 
 01/21  00:26:00,-6.3,,18.966335378597078,13.40937976727176,0.0,0.0,13.92286957,13.92286957,19701.69045517365,0.0 
 01/21  00:27:00,-6.3,,18.9559248489538,13.409184934597148,0.0,0.0,13.92286957,13.92286957,19886.57640404668,0.0 
 01/21  00:28:00,-6.3,,18.950496192683816,13.408987434901395,0.0,0.0,13.92286957,13.92286957,20021.566668716303,0.0 
 01/21  00:29:00,-6.3,,18.950507342417948,13.408787275233652,0.0,0.0,13.92286957,13.92286957,20091.958452016093,0.0 
 01/21  00:30:00,-6.3,,18.955899670135119,13.408584611230645,0.0,0.0,13.92286957,13.92286957,20091.81387670504,0.0 
 01/21  00:31:00,-6.3,,18.966305380846359,13.408379742537493,0.0,0.0,13.92286957,13.92286957,20021.893155025296,0.0 
 01/21  00:32:00,-6.3,,18.981208571015978,13.408173096654798,0.0,0.0,13.92286957,13.92286957,19886.96537602484,0.0 
 01/21  00:33:00,-6.3,,19.000044403934699,13.407965203484734,0.0,0.0,13.92286957,13.92286957,19693.720108554917,0.0 
 01/21  00:34:00,-6.3,,19.02135199247107,13.407756663220316,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:35:00,-6.3,,19.04292179191845,13.40754810970232,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:36:00,-6.3,,19.06263879984173,13.407340171649683,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:37:00,-6.3,,19.079050077435235,13.407133435262033,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:38:00,-6.3,,19.091456960403904,13.406928411385782,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:39:00,-6.3,,19.099736535507735,13.40672551009542,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:40:00,-6.3,,19.104108868080116,13.406525023740962,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:41:00,-6.3,,19.104955479083718,13.406327118608625,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:42:00,-6.3,,19.10270802969213,13.406131834390174,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
 01/21  00:43:00,-6.3,,19.097790280661294,13.405939090080315,0.0,0.0,13.92286957,13.92286957,0.0,0.0 
