Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,29869065.203772557,29869065.203772557,0.0,0.0 
 01/21  02:00:00,29863065.203772557,29863065.203772557,0.0,0.0 
 01/21  03:00:00,29869065.203772557,29869065.203772557,0.0,0.0 
 01/21  04:00:00,29881065.203772557,29881065.203772557,0.0,0.0 
 01/21  05:00:00,29887065.203772557,29887065.203772557,0.0,0.0 
 01/21  06:00:00,29845065.203772557,29845065.203772557,0.0,0.0 
 01/21  07:00:00,39551325.20377252,39551325.203772548,0.0,0.0 
 01/21  08:00:00,27131535.203772557,27131535.20377256,0.0,0.0 
 01/21  09:00:00,21167925.203772557,21167925.203772557,0.0,0.0 
 01/21  10:00:00,21155925.203772557,21155925.203772557,0.0,0.0 
 01/21  11:00:00,21167925.203772557,21167925.203772557,0.0,0.0 
 01/21  12:00:00,21257925.203772557,21257925.203772557,0.0,0.0 
 01/21  13:00:00,21275925.203772557,21275925.203772557,0.0,0.0 
 01/21  14:00:00,21131925.203772557,21131925.203772557,0.0,0.0 
 01/21  15:00:00,21077925.203772557,21077925.203772557,0.0,0.0 
 01/21  16:00:00,21197925.203772557,21197925.203772557,0.0,0.0 
 01/21  17:00:00,25662585.203772557,25662585.203772557,0.0,0.0 
 01/21  18:00:00,40109325.20377252,40109325.203772578,0.0,0.0 
 01/21  19:00:00,40709325.203772518,40709325.20377255,0.0,0.0 
 01/21  20:00:00,32372445.203772557,32372445.203772557,0.0,0.0 
 01/21  21:00:00,32360445.203772557,32360445.203772557,0.0,0.0 
 01/21  22:00:00,32414445.203772557,32414445.203772557,0.0,0.0 
 01/21  23:00:00,32408445.203772557,32408445.203772557,0.0,0.0 
 01/21  24:00:00,32414445.203772557,32414445.203772557,0.0,0.0 
 07/21  01:00:00,421627090.77084276,421627090.7708422,152517470.7542746,224813060.55296675 
 07/21  02:00:00,421567090.77084276,421567090.77084216,152517470.7542746,224813060.55296675 
 07/21  03:00:00,421567090.77084276,421567090.77084216,152517470.7542746,224813060.55296675 
 07/21  04:00:00,421531090.77084276,421531090.77084216,152517470.7542746,224813060.55296675 
 07/21  05:00:00,417629297.9524686,417629297.952468,151903095.9359005,224813060.55296675 
 07/21  06:00:00,389671787.6795941,389671787.67959418,128071818.04907707,224813060.55296675 
 07/21  07:00:00,384132550.90040519,384132550.90040519,120497854.10498229,224813060.55296675 
 07/21  08:00:00,387345031.4980624,387345031.4980624,119991185.40467149,224813060.55296675 
 07/21  09:00:00,387517430.2069702,387517430.2069702,119991185.40467149,224813060.55296675 
 07/21  10:00:00,388274643.9841958,388274643.9841958,119991185.40467149,224813060.55296675 
 07/21  11:00:00,388595421.7422791,388595421.7422792,119991185.40467149,224813060.55296675 
 07/21  12:00:00,388357810.615338,388357810.615338,119991185.40467149,224813060.55296675 
 07/21  13:00:00,388531098.0039762,388531098.0039762,119991185.40467149,224813060.55296675 
 07/21  14:00:00,389243095.71983769,389243095.71983769,119991185.40467149,224813060.55296675 
 07/21  15:00:00,389553615.4296589,389553615.4296589,119991185.40467149,224813060.55296675 
 07/21  16:00:00,389139779.1864546,389139779.1864546,119991185.40467149,224813060.55296675 
 07/21  17:00:00,388167761.9180548,388167761.9180548,119991185.40467149,224813060.55296675 
 07/21  18:00:00,387699647.5248008,387699647.5248008,120633945.22274417,224813060.55296675 
 07/21  19:00:00,396254264.56159648,396254264.56159648,130861359.31742129,224813060.55296675 
 07/21  20:00:00,424386152.96487018,424386152.96487018,152399856.5668155,224813060.55296675 
 07/21  21:00:00,427508673.4598838,427508673.4598838,152517470.7542746,224813060.55296675 
 07/21  22:00:00,427550949.7526532,427550949.7526532,152517470.7542746,224813060.55296675 
 07/21  23:00:00,424478470.77084276,424478470.7708422,152517470.7542746,224813060.55296675 
 07/21  24:00:00,424472470.77084276,424472470.7708422,152517470.7542746,224813060.55296675 
 03/01  01:00:00,63794347.672702368,63794347.67270236,7625873.53771374,33399901.50135806 
 03/01  02:00:00,63572347.672702338,63572347.672702338,7625873.53771374,33399901.50135806 
 03/01  03:00:00,63306357.80424465,63306357.804244648,7625873.53771374,33399901.50135806 
 03/01  04:00:00,63010367.935786958,63010367.935786958,7625873.53771374,33399901.50135806 
 03/01  05:00:00,64774307.146533098,64774307.14653309,7625873.53771374,33399901.50135806 
 03/01  06:00:00,64582307.146533098,64582307.14653309,7625873.53771374,33399901.50135806 
 03/01  07:00:00,68695743.17212777,68695743.17212777,6568699.919713121,41385398.908734139 
 03/01  08:00:00,62586375.20378039,62586375.20378039,6125574.056042683,41385398.908734139 
 03/01  09:00:00,52501030.6512113,52501030.6512113,5477864.76795041,41385398.908734139 
 03/01  10:00:00,50451435.87617843,50451435.87617843,5194199.072121367,41385398.908734139 
 03/01  11:00:00,57321375.031556699,57321375.031556699,5174421.910684347,41385398.908734139 
 03/01  12:00:00,57449602.72981274,57449602.72981277,5214639.4773981,41385398.908734139 
 03/01  13:00:00,54981475.6848805,54981475.68488052,5212421.24858501,41385398.908734139 
 03/01  14:00:00,51208969.28660127,51208969.28660127,5225762.877171123,41385398.908734139 
 03/01  15:00:00,49948003.97112471,49948003.97112471,5174746.903983026,41385398.908734139 
 03/01  16:00:00,59608799.335589628,59608799.335589628,5229937.398598024,41385398.908734139 
 03/01  17:00:00,55753961.46321198,55753961.46321198,5390937.421543387,41385398.908734139 
 03/01  18:00:00,68674122.1810895,68674122.1810895,6328500.112555638,41385398.908734139 
 03/01  19:00:00,75674567.14653312,75674567.14653312,7625873.53771374,33399901.50135806 
 03/01  20:00:00,64369798.59349858,64369798.593498568,7625873.53771374,33399901.50135806 
 03/01  21:00:00,67391687.14653309,67391687.14653309,7625873.53771374,33399901.50135806 
 03/01  22:00:00,67391687.14653309,67391687.14653309,7625873.53771374,33399901.50135806 
 03/01  23:00:00,67149697.2780754,67149697.2780754,7625873.53771374,33399901.50135806 
 03/01  24:00:00,65573747.93578698,65573747.93578698,7625873.53771374,33399901.50135806 
 03/02  01:00:00,74423648.17315509,74423648.17315509,7625873.53771374,44533202.00181081 
 03/02  02:00:00,74551668.4362397,74551668.4362397,7625873.53771374,44533202.00181081 
 03/02  03:00:00,75907607.64698586,75907607.64698586,7625873.53771374,44533202.00181081 
 03/02  04:00:00,75473617.77852817,75473617.77852817,7625873.53771374,44533202.00181081 
 03/02  05:00:00,74789648.1731551,74789648.1731551,7625873.53771374,44533202.00181081 
 03/02  06:00:00,78993653.42091885,78993653.42091885,15251747.07542748,44533202.00181081 
 03/02  07:00:00,87901843.99553082,87901843.99553085,12793847.641995743,55180531.87831209 
 03/02  08:00:00,150020684.61034794,150020684.61034794,32816265.989801755,95796493.41677362 
 03/02  09:00:00,339782687.80819436,339782687.80819436,93948905.15704035,204227663.7591696 
 03/02  10:00:00,313125230.06520089,313125230.06520089,93124323.85391505,174055806.61631225 
 03/02  11:00:00,305826205.77755257,305826205.7775533,93124323.85391505,167093070.3525762 
 03/02  12:00:00,313346942.0412895,313346942.0412895,93124323.85391505,174055806.61631225 
 03/02  13:00:00,316964649.73105189,316964649.73105189,93124323.85391505,177667514.30607493 
 03/02  14:00:00,319005222.2610697,319005222.26106968,93124323.85391505,179858086.83609239 
 03/02  15:00:00,305814290.17002388,305814290.17002466,93136408.24638629,167093070.3525762 
 03/02  16:00:00,306801502.9212456,306801502.9212456,94075620.99760753,167093070.3525762 
 03/02  17:00:00,320542429.959815,320542429.959815,97372443.64057255,177537174.74818046 
 03/02  18:00:00,259598842.7561847,259598842.7561847,64331531.611957948,140923939.57316477 
 03/02  19:00:00,156690207.5755858,156690207.57558579,39455915.8435987,69106004.40578471 
 03/02  20:00:00,140093727.33005897,140093727.33005897,39455915.8435987,59822356.054136309 
 03/02  21:00:00,117664745.15364117,117664745.15364117,26303943.895732464,59822356.054136309 
 03/02  22:00:00,92786985.64250234,92786985.64250234,26303943.895732464,55180531.87831209 
 03/02  23:00:00,86016750.27453594,86016750.27453594,13151971.947866232,55180531.87831209 
 03/02  24:00:00,86180511.01204498,86180511.01204498,6575985.973933116,55180531.87831209 
 03/03  01:00:00,71693769.75166279,71693769.75166279,7625873.53771374,44533202.00181081 
 03/03  02:00:00,75643607.64698586,75643607.64698586,7625873.53771374,44533202.00181081 
 03/03  03:00:00,73651698.83086665,73651698.83086665,7625873.53771374,44533202.00181081 
 03/03  04:00:00,75387627.91007048,75387627.91007048,7625873.53771374,44533202.00181081 
 03/03  05:00:00,72443739.35703588,72443739.35703588,7625873.53771374,44533202.00181081 
 03/03  06:00:00,84211481.18469957,84211481.18469957,15251747.07542748,44533202.00181081 
 03/03  07:00:00,84925278.4909981,84925278.4909981,13107550.69049763,55180531.87831209 
 03/03  08:00:00,152424965.3366386,152424965.3366386,35238546.71609248,95796493.41677362 
 03/03  09:00:00,338366746.1989201,338366746.1989201,93916896.24826765,204227663.7591696 
 03/03  10:00:00,313917125.86195209,313917125.86195209,94246507.67457786,174055806.61631225 
 03/03  11:00:00,306439226.1238976,306439226.1238977,93761344.20025957,167093070.3525762 
 03/03  12:00:00,312764942.0412895,312764942.0412895,93124323.85391505,174055806.61631225 
 03/03  13:00:00,317048649.73105189,317048649.73105189,93124323.85391505,177667514.30607493 
 03/03  14:00:00,318885222.2610697,318885222.26106968,93124323.85391505,179858086.83609239 
 03/03  15:00:00,306666583.10065647,306666583.10065647,93856701.17701805,167093070.3525762 
 03/03  16:00:00,307678202.5626471,307678202.5626472,94682320.63900942,167093070.3525762 
 03/03  17:00:00,325736858.0392977,325736858.0392977,102386871.72005534,177537174.74818046 
 03/03  18:00:00,260304396.39497016,260304396.39497016,65005465.25074342,140923939.57316477 
 03/03  19:00:00,149451389.77152054,149451389.7715205,39455915.8435987,69106004.40578471 
 03/03  20:00:00,130696717.1015076,130696717.1015076,39455915.8435987,59822356.054136309 
 03/03  21:00:00,117658745.15364117,117658745.15364117,26303943.895732464,59822356.054136309 
 03/03  22:00:00,92768985.64250234,92768985.64250234,26303943.895732464,55180531.87831209 
 03/03  23:00:00,89462618.56448591,89462618.56448591,13151971.947866232,55180531.87831209 
 03/03  24:00:00,85600531.27512957,85600531.27512957,6575985.973933116,55180531.87831209 
 03/04  01:00:00,74635638.04161279,74635638.04161279,7625873.53771374,44533202.00181081 
 03/04  02:00:00,70509810.27783203,70509810.27783203,7625873.53771374,44533202.00181081 
 03/04  03:00:00,76615607.64698586,76615607.64698586,7625873.53771374,44533202.00181081 
 03/04  04:00:00,72227739.35703588,72227739.35703588,7625873.53771374,44533202.00181081 
 03/04  05:00:00,73605688.69932434,73605688.69932434,7625873.53771374,44533202.00181081 
 03/04  06:00:00,79827623.0262919,79827623.0262919,15251747.07542748,44533202.00181081 
 03/04  07:00:00,87936837.21169804,87936837.21169804,13123641.384332233,55180531.87831209 
 03/04  08:00:00,153863407.3430327,153863407.3430327,36142988.72248644,95796493.41677362 
 03/04  09:00:00,342351576.49383738,342351576.49383738,97017630.33094275,204227663.7591696 
 03/04  10:00:00,313939495.80546358,313939495.80546358,94274877.61808934,174055806.61631225 
 03/04  11:00:00,306648883.522954,306648883.522954,93971001.59931587,167093070.3525762 
 03/04  12:00:00,313070352.8093533,313070352.8093533,93429734.62197909,174055806.61631225 
 03/04  13:00:00,316466649.73105189,316466649.73105189,93124323.85391505,177667514.30607493 
 03/04  14:00:00,318567222.2610697,318567222.26106968,93124323.85391505,179858086.83609239 
 03/04  15:00:00,306436478.5021921,306436478.5021921,93758596.5785538,167093070.3525762 
 03/04  16:00:00,307651321.549461,307651321.549461,94973439.6258234,167093070.3525762 
 03/04  17:00:00,328676631.8117736,328676631.8117736,105374645.49253135,177537174.74818046 
 03/04  18:00:00,259583618.27748776,259583618.27748779,65348877.13326108,140923939.57316477 
 03/04  19:00:00,150133437.877642,150133437.877642,39455915.8435987,69106004.40578471 
 03/04  20:00:00,130690717.1015076,130690717.1015076,39455915.8435987,59822356.054136309 
 03/04  21:00:00,117550745.15364117,117550745.15364117,26303943.895732464,59822356.054136309 
 03/04  22:00:00,92768985.64250234,92768985.64250234,26303943.895732464,55180531.87831209 
 03/04  23:00:00,94800446.32826664,94800446.32826664,13151971.947866232,55180531.87831209 
 03/04  24:00:00,86394490.74896033,86394490.74896033,6575985.973933116,55180531.87831209 
 03/05  01:00:00,75415638.04161279,75415638.04161279,7625873.53771374,44533202.00181081 
 03/05  02:00:00,74585648.17315509,74585648.17315509,7625873.53771374,44533202.00181081 
 03/05  03:00:00,74561648.1731551,74561648.1731551,7625873.53771374,44533202.00181081 
 03/05  04:00:00,74635668.43623972,74635668.43623972,7625873.53771374,44533202.00181081 
 03/05  05:00:00,75699627.91007048,75699627.91007048,7625873.53771374,44533202.00181081 
 03/05  06:00:00,82579511.57932648,82579511.57932648,15251747.07542748,44533202.00181081 
 03/05  07:00:00,83107805.5032868,83107805.5032868,12982617.308159385,55180531.87831209 
 03/05  08:00:00,150488672.34088097,150488672.34088097,33908253.72033492,95796493.41677362 
 03/05  09:00:00,339631684.2216975,339631684.2216975,95283009.57053821,204227663.7591696 
 03/05  10:00:00,312828546.97886148,312828546.97886148,93187928.79148703,174055806.61631225 
 03/05  11:00:00,305802205.77755257,305802205.7775533,93124323.85391505,167093070.3525762 
 03/05  12:00:00,312782942.0412895,312782942.0412895,93124323.85391505,174055806.61631225 
 03/05  13:00:00,317036649.73105189,317036649.73105189,93124323.85391505,177667514.30607493 
 03/05  14:00:00,319010128.7772899,319010128.77728989,93124323.85391505,179858086.83609239 
 03/05  15:00:00,306007456.41303536,306007456.4130361,93131574.4893978,167093070.3525762 
 03/05  16:00:00,307052999.17307659,307052999.17307659,94105117.24943874,167093070.3525762 
 03/05  17:00:00,326450159.2358925,326450159.2358925,102884172.91665012,177537174.74818046 
 03/05  18:00:00,259672357.76492206,259672357.76492206,65037806.62069534,140923939.57316477 
 03/05  19:00:00,149487389.77152054,149487389.7715205,39455915.8435987,69106004.40578471 
 03/05  20:00:00,130612717.1015076,130612717.1015076,39455915.8435987,59822356.054136309 
 03/05  21:00:00,117742745.15364117,117742745.15364117,26303943.895732464,59822356.054136309 
 03/05  22:00:00,92780985.64250234,92780985.64250234,26303943.895732464,55180531.87831209 
 03/05  23:00:00,91828517.2490628,91828517.2490628,13151971.947866232,55180531.87831209 
 03/05  24:00:00,82680642.72209512,82680642.72209512,6575985.973933116,55180531.87831209 
 03/06  01:00:00,72777749.48857819,72777749.48857819,7625873.53771374,44533202.00181081 
 03/06  02:00:00,73863688.69932433,73863688.69932433,7625873.53771374,44533202.00181081 
 03/06  03:00:00,76147607.64698586,76147607.64698586,7625873.53771374,44533202.00181081 
 03/06  04:00:00,66813962.25096666,66813962.25096666,7625873.53771374,44533202.00181081 
 03/06  05:00:00,65356023.040220547,65356023.040220547,7625873.53771374,44533202.00181081 
