Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,29851803.10897668,29851803.10897668,0.0,0.0 
 01/21  02:00:00,29905803.10897668,29905803.10897668,0.0,0.0 
 01/21  03:00:00,29905803.10897668,29905803.10897668,0.0,0.0 
 01/21  04:00:00,29851803.10897668,29851803.10897668,0.0,0.0 
 01/21  05:00:00,29863803.10897668,29863803.10897668,0.0,0.0 
 01/21  06:00:00,29863803.10897668,29863803.10897668,0.0,0.0 
 01/21  07:00:00,39588063.10897667,39588063.10897667,0.0,0.0 
 01/21  08:00:00,27126273.108976678,27126273.108976678,0.0,0.0 
 01/21  09:00:00,21186663.1089767,21186663.1089767,0.0,0.0 
 01/21  10:00:00,21204663.1089767,21204663.1089767,0.0,0.0 
 01/21  11:00:00,21132663.1089767,21132663.1089767,0.0,0.0 
 01/21  12:00:00,21144663.1089767,21144663.1089767,0.0,0.0 
 01/21  13:00:00,21246663.1089767,21246663.1089767,0.0,0.0 
 01/21  14:00:00,21252663.1089767,21252663.1089767,0.0,0.0 
 01/21  15:00:00,21138663.1089767,21138663.1089767,0.0,0.0 
 01/21  16:00:00,21222663.1089767,21222663.1089767,0.0,0.0 
 01/21  17:00:00,25603323.1089767,25603323.1089767,0.0,0.0 
 01/21  18:00:00,40038063.10897667,40038063.10897667,0.0,0.0 
 01/21  19:00:00,40746063.10897667,40746063.10897667,0.0,0.0 
 01/21  20:00:00,32379183.108976678,32379183.108976678,0.0,0.0 
 01/21  21:00:00,32379183.108976678,32379183.108976678,0.0,0.0 
 01/21  22:00:00,32373183.108976678,32373183.108976678,0.0,0.0 
 01/21  23:00:00,32409183.108976678,32409183.108976678,0.0,0.0 
 01/21  24:00:00,32403183.108976678,32403183.108976678,0.0,0.0 
 07/21  01:00:00,420344752.782948,420344752.782948,152517470.7542746,224813060.55296675 
 07/21  02:00:00,420434752.782948,420434752.782948,152517470.7542746,224813060.55296675 
 07/21  03:00:00,420428752.782948,420428752.782948,152517470.7542746,224813060.55296675 
 07/21  04:00:00,420428752.782948,420428752.782948,152517470.7542746,224813060.55296675 
 07/21  05:00:00,416760959.96457406,416760959.96457406,151903095.9359005,224813060.55296675 
 07/21  06:00:00,389367863.32903149,389367863.3290314,128071818.04907707,224813060.55296675 
 07/21  07:00:00,383971822.6847361,383971822.684736,120497854.10498229,224813060.55296675 
 07/21  08:00:00,386995829.1571753,386995829.1571753,119991185.40467149,224813060.55296675 
 07/21  09:00:00,386929869.7287346,386929869.7287346,119991185.40467149,224813060.55296675 
 07/21  10:00:00,387374780.6644544,387374780.6644543,119991185.40467149,224813060.55296675 
 07/21  11:00:00,387627436.1833438,387627436.1833438,119991185.40467149,224813060.55296675 
 07/21  12:00:00,387463486.26403829,387463486.26403829,119991185.40467149,224813060.55296675 
 07/21  13:00:00,387691682.9409516,387691682.9409516,119991185.40467149,224813060.55296675 
 07/21  14:00:00,388461719.8537249,388461719.8537248,119991185.40467149,224813060.55296675 
 07/21  15:00:00,388858596.10277119,388858596.10277119,119991185.40467149,224813060.55296675 
 07/21  16:00:00,388560472.51275387,388560472.51275387,119991185.40467149,224813060.55296675 
 07/21  17:00:00,387659795.74251165,387659795.7425116,119991185.40467149,224813060.55296675 
 07/21  18:00:00,387236150.9875639,387236150.9875639,120633945.22274417,224813060.55296675 
 07/21  19:00:00,395954804.0961723,395954804.0961722,130861359.31742129,224813060.55296675 
 07/21  20:00:00,424219136.1611853,424219136.1611853,152399856.5668155,224813060.55296675 
 07/21  21:00:00,427391656.682817,427391656.6828169,152517470.7542746,224813060.55296675 
 07/21  22:00:00,427474197.96906879,427474197.96906879,152517470.7542746,224813060.55296675 
 07/21  23:00:00,423880132.782948,423880132.782948,152517470.7542746,224813060.55296675 
 07/21  24:00:00,423190132.782948,423190132.782948,152517470.7542746,224813060.55296675 
 06/01  01:00:00,79079664.0302188,79079664.0302188,7625873.53771374,44533202.00181081 
 06/01  02:00:00,70244021.89179291,70244021.89179291,7625873.53771374,44533202.00181081 
 06/01  03:00:00,68935775.571029,68935775.571029,7625873.53771374,44533202.00181081 
 06/01  04:00:00,72424432.42639934,72424432.42639934,7625873.53771374,44533202.00181081 
 06/01  05:00:00,67295338.17199208,67295338.17199208,7591463.283306486,44533202.00181081 
 06/01  06:00:00,73703329.67439091,73703329.67439091,13781253.930334909,44533202.00181081 
 06/01  07:00:00,92431616.69802343,92431616.69802343,10642158.404433685,55180531.87831209 
 06/01  08:00:00,159151877.7734421,159151877.77344207,31063997.337583778,95796493.41677362 
 06/01  09:00:00,333413733.96150186,333413733.96150186,93124323.85391505,204227663.7591696 
 06/01  10:00:00,303609202.5532231,303609202.5532231,93124323.85391505,174055806.61631225 
 06/01  11:00:00,296607793.6464896,296607793.64648959,93124323.85391505,167093070.3525762 
 06/01  12:00:00,304208370.42367836,304208370.42367836,93124323.85391505,174055806.61631225 
 06/01  13:00:00,306864505.66750976,306864505.66750976,93124323.85391505,177667514.30607493 
 06/01  14:00:00,310222246.4314305,310222246.43143048,93124323.85391505,179858086.83609239 
 06/01  15:00:00,298008873.0924821,298008873.0924821,93124323.85391505,167093070.3525762 
 06/01  16:00:00,298123436.4343025,298123436.4343025,93124323.85391505,167093070.3525762 
 06/01  17:00:00,310067967.21131059,310067967.21131059,93312593.52151679,177537174.74818046 
 06/01  18:00:00,230169113.996753,230169113.996753,52916249.32147222,140923939.57316477 
 06/01  19:00:00,136450588.64411963,136450588.64411963,34101110.27107747,69106004.40578471 
 06/01  20:00:00,139169597.01622427,139169597.01622427,39152827.48638166,59822356.054136309 
 06/01  21:00:00,128589901.4255753,128589901.4255753,26303943.895732464,59822356.054136309 
 06/01  22:00:00,113454854.7993453,113454854.7993453,26303943.895732464,55180531.87831209 
 06/01  23:00:00,106253950.2414557,106253950.2414557,13151971.947866232,55180531.87831209 
 06/01  24:00:00,99593964.26752277,99593964.26752277,6575985.973933116,55180531.87831209 
 06/02  01:00:00,87181141.95480199,87181141.95480199,7625873.53771374,44533202.00181081 
 06/02  02:00:00,86905141.95480199,86905141.95480199,7625873.53771374,44533202.00181081 
 06/02  03:00:00,86917141.95480199,86917141.95480199,7625873.53771374,44533202.00181081 
 06/02  04:00:00,86899141.95480199,86899141.95480199,7625873.53771374,44533202.00181081 
 06/02  05:00:00,81422476.79570709,81422476.79570709,7391411.3786188079,44533202.00181081 
 06/02  06:00:00,83734824.16608337,83734824.16608337,12466695.748995169,44533202.00181081 
 06/02  07:00:00,93963593.1525113,93963593.1525113,10422134.858921607,55180531.87831209 
 06/02  08:00:00,160168379.5463755,160168379.5463755,31041441.28463835,95796493.41677362 
 06/02  09:00:00,333356428.0951783,333356428.0951783,93124323.85391505,204227663.7591696 
 06/02  10:00:00,303695131.6308379,303695131.6308379,93124323.85391505,174055806.61631225 
 06/02  11:00:00,296761381.3014698,296761381.3014699,93124323.85391505,167093070.3525762 
 06/02  12:00:00,303848501.9748872,303848501.9748872,93124323.85391505,174055806.61631225 
 06/02  13:00:00,307773857.1508888,307773857.1508887,93124323.85391505,177667514.30607493 
 06/02  14:00:00,310225592.358739,310225592.3587389,93124323.85391505,179858086.83609239 
 06/02  15:00:00,297132636.1485588,297132636.1485588,93124323.85391505,167093070.3525762 
 06/02  16:00:00,297056724.6344108,297056724.6344108,93133991.36789204,167093070.3525762 
 06/02  17:00:00,308220352.3392878,308220352.3392878,93559746.61659938,177537174.74818046 
 06/02  18:00:00,228275306.9716063,228275306.9716063,52740507.402017209,140923939.57316477 
 06/02  19:00:00,135499111.50038249,135499111.50038249,34330025.61889131,69106004.40578471 
 06/02  20:00:00,138752359.95576043,138752359.95576043,39225532.42591783,59822356.054136309 
 06/02  21:00:00,128589901.4255753,128589901.4255753,26303943.895732464,59822356.054136309 
 06/02  22:00:00,119531922.1893221,119531922.1893221,26303943.895732464,55180531.87831209 
 06/02  23:00:00,106679950.2414557,106679950.2414557,13151971.947866232,55180531.87831209 
 06/02  24:00:00,100037964.26752277,100037964.26752277,6575985.973933116,55180531.87831209 
