Date/Time,PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) 
 01/21  01:00:00,13.748311357126545,0.0,0.40425271669553805,0.0023193819877637834,0.40193333470777406,15.0,14.561007672686373,38.059742265966608,12.20000000000001,12.20000000000001 
 01/21  02:00:00,13.738537095741388,0.0,0.40425271669553805,0.0023292534362168739,0.40192346325932096,15.0,14.559356190033619,38.069115327596829,12.20000000000001,12.20000000000001 
 01/21  03:00:00,13.729670555635308,0.0,0.40425271669553805,0.002338223204538541,0.4019144934909992,15.0,14.557855487077469,38.0779121053064,12.20000000000001,12.20000000000001 
 01/21  04:00:00,13.721613876541144,0.0,0.40425271669553805,0.0023463878388535065,0.40190632885668439,15.0,14.556489430203607,38.08618192619885,12.20000000000001,12.20000000000001 
 01/21  05:00:00,13.714288261789714,0.0,0.40425271669553805,0.002353826712244564,0.40189888998329345,15.0,14.555244754868126,38.093947201322567,12.20000000000001,12.20000000000001 
 01/21  06:00:00,13.707619654536453,0.0,0.40425271669553805,0.002360610268516516,0.4018921064270214,15.0,14.55410968726058,38.101253479313829,12.20000000000001,12.20000000000001 
 01/21  07:00:00,14.116531526107256,0.0,0.40425271669553805,0.0022613596890305499,0.40199135700650748,15.0,14.570711726389117,35.803227196356399,12.20000000000001,12.20000000000001 
 01/21  08:00:00,14.214037885391276,0.0,0.40425271669553805,0.0021667692850418946,0.402085947410496,15.0,14.586529259793819,35.69147498488662,12.20000000000001,12.20000000000001 
 01/21  09:00:00,14.238602906781985,0.0,0.40425271669553805,0.0021399729576713699,0.40211274373786656,15.0,14.591008483394683,35.68246004984994,12.20000000000001,12.20000000000001 
 01/21  10:00:00,14.254803556326197,0.0,0.40425271669553805,0.0021234858081700307,0.40212923088736798,15.0,14.593764131594366,35.6726733672094,12.20000000000001,12.20000000000001 
 01/21  11:00:00,14.267813067879029,0.0,0.40425271669553805,0.002110572226959712,0.4021421444685781,15.0,14.59592233601698,35.66371790944247,12.20000000000001,12.20000000000001 
 01/21  12:00:00,14.279112775746727,0.0,0.40425271669553805,0.002099448594720689,0.4021532681008174,15.0,14.597781280314047,35.655537818756737,12.20000000000001,12.20000000000001 
 01/21  13:00:00,14.289191867125279,0.0,0.40425271669553805,0.00208954543365226,0.4021631712618856,15.0,14.599436176787276,35.648023340742579,12.20000000000001,12.20000000000001 
 01/21  14:00:00,14.298259573150038,0.0,0.40425271669553805,0.0020806343393914947,0.40217208235614668,15.0,14.600925221296228,35.64109589201777,12.20000000000001,12.20000000000001 
 01/21  15:00:00,14.306439156866011,0.0,0.40425271669553805,0.0020725887404132818,0.4021801279551245,15.0,14.602269584738668,35.634705859353378,12.20000000000001,12.20000000000001 
 01/21  16:00:00,14.313823067177191,0.0,0.40425271669553805,0.0020653174682583629,0.40218739922727955,15.0,14.603484517259906,35.62881593083552,12.20000000000001,12.20000000000001 
 01/21  17:00:00,14.32049125208463,0.0,0.40425271669553805,0.0020587433584656345,0.4021939733370722,15.0,14.604582925409567,35.623388162323177,12.20000000000001,12.20000000000001 
 01/21  18:00:00,14.326513126136744,0.0,0.40425271669553805,0.0020527990013529285,0.40219991769418497,15.0,14.605576082978756,35.61839287189404,12.20000000000001,12.20000000000001 
 01/21  19:00:00,13.912237916210679,0.0,0.40425271669553805,0.0021519811947303907,0.40210073550080768,15.0,14.588999924108828,37.920512446416058,12.20000000000001,12.20000000000001 
 01/21  20:00:00,13.817245649080617,0.0,0.40425271669553805,0.002247443845131062,0.4020052728504067,15.0,14.573040353140878,38.034715952096778,12.20000000000001,12.20000000000001 
 01/21  21:00:00,13.792232411438653,0.0,0.40425271669553805,0.0022752911651104719,0.4019774255304274,15.0,14.568383021508954,38.045528624909838,12.20000000000001,12.20000000000001 
 01/21  22:00:00,13.775489012734756,0.0,0.40425271669553805,0.0022927086984332837,0.4019600079971047,15.0,14.565469677068661,38.05726146386143,12.20000000000001,12.20000000000001 
 01/21  23:00:00,13.761919663222335,0.0,0.40425271669553805,0.0023064902054388744,0.401946226490099,15.0,14.563164330767416,38.06819034956042,12.20000000000001,12.20000000000001 
 01/21  24:00:00,13.750067844863385,0.0,0.40425271669553805,0.002318439793490888,0.4019342769020469,15.0,14.561165295913007,38.078329985206149,12.20000000000001,12.20000000000001 
 07/21  01:00:00,22.843438007771696,3136.3695537449768,0.4111182698519473,0.09800696575265705,0.31311130409929058,12.923390563376954,14.745214727193764,16.16949630307708,6.88344961403727,8.757552113091956 
 07/21  02:00:00,22.749959748553253,3074.229571794563,0.4111182698519473,0.09903925372045808,0.3120790161314896,12.96371572936119,14.749465271961036,15.94767615293106,7.119586882741276,8.957615364671153 
 07/21  03:00:00,22.674677326858118,3023.7683800273036,0.4111182698519473,0.09957539343643718,0.31154287641551056,12.996071474886098,14.75252556094529,15.956868297434765,7.284739011941207,9.093472522073644 
