Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,33033130.91545926,33033130.915459277,0.0,0.0 
 01/21  02:00:00,33081130.91545926,33081130.91545928,0.0,0.0 
 01/21  03:00:00,33033130.91545926,33033130.91545929,0.0,0.0 
 01/21  04:00:00,33045130.91545926,33045130.915459288,0.0,0.0 
 01/21  05:00:00,33081130.91545926,33081130.91545929,0.0,0.0 
 01/21  06:00:00,33105130.91545926,33105130.915459284,0.0,0.0 
 01/21  07:00:00,43357390.91545926,43357390.91545926,0.0,0.0 
 01/21  08:00:00,30475600.91545927,30475600.91545927,0.0,0.0 
 01/21  09:00:00,24571990.9154593,24571990.915459295,0.0,0.0 
 01/21  10:00:00,24595990.9154593,24595990.915459288,0.0,0.0 
 01/21  11:00:00,24589990.9154593,24589990.91545929,0.0,0.0 
 01/21  12:00:00,24577990.9154593,24577990.915459277,0.0,0.0 
 01/21  13:00:00,24565990.9154593,24565990.91545927,0.0,0.0 
 01/21  14:00:00,24607990.9154593,24607990.915459288,0.0,0.0 
 01/21  15:00:00,24601990.9154593,24601990.91545928,0.0,0.0 
 01/21  16:00:00,24547990.9154593,24547990.91545928,0.0,0.0 
 01/21  17:00:00,28994650.9154593,28994650.915459284,0.0,0.0 
 01/21  18:00:00,43399390.91545926,43399390.91545926,0.0,0.0 
 01/21  19:00:00,43477390.91545926,43477390.91545926,0.0,0.0 
 01/21  20:00:00,35620510.91545926,35620510.915459278,0.0,0.0 
 01/21  21:00:00,35566510.91545926,35566510.91545926,0.0,0.0 
 01/21  22:00:00,35584510.91545926,35584510.91545927,0.0,0.0 
 01/21  23:00:00,35656510.91545926,35656510.91545927,0.0,0.0 
 01/21  24:00:00,35650510.91545926,35650510.91545929,0.0,0.0 
 07/21  01:00:00,421257252.14147326,421257252.14147326,152517470.7542746,224813060.55296675 
 07/21  02:00:00,420975252.14147326,420975252.14147326,152517470.7542746,224813060.55296675 
 07/21  03:00:00,420735252.14147326,420735252.14147326,152517470.7542746,224813060.55296675 
 07/21  04:00:00,420375252.14147326,420375252.14147326,152517470.7542746,224813060.55296675 
 07/21  05:00:00,416785459.3230991,416785459.3230991,151903095.9359005,224813060.55296675 
 07/21  06:00:00,389147617.4950063,389147617.4950063,128071818.04907707,224813060.55296675 
 07/21  07:00:00,384389497.2171419,384389497.2171419,120497854.10498229,224813060.55296675 
 07/21  08:00:00,387448193.4645852,387448193.46458509,119991185.40467149,224813060.55296675 
 07/21  09:00:00,387369917.32189658,387369917.32189646,119991185.40467149,224813060.55296675 
 07/21  10:00:00,387715374.51859447,387715374.5185943,119991185.40467149,224813060.55296675 
