Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),CORE_BOTTOM:Zone Air System Sensible Cooling Rate [W](Hourly),TOPFLOOR_PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),MIDFLOOR_PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),FIRSTFLOOR_PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),CORE_MID:Zone Air System Sensible Cooling Rate [W](Hourly),CORE_TOP:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_TOP_ZN_3:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_TOP_ZN_2:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_TOP_ZN_1:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_TOP_ZN_4:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_BOT_ZN_3:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_BOT_ZN_2:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_BOT_ZN_1:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_BOT_ZN_4:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_MID_ZN_3:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_MID_ZN_2:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_MID_ZN_1:Zone Air System Sensible Cooling Rate [W](Hourly),PERIMETER_MID_ZN_4:Zone Air System Sensible Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Injection Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Recirculation Mass Flow Rate [kg/s](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Inlet Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Outlet Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_INLET:System Node Temperature [C](Hourly),PERI1_TOP_LOTEMP_CHW_OUTLET:System Node Temperature [C](Hourly) 
 01/21  01:00:00,-6.300000000000007,13.812595680958456,37866.02223497847,0.0,0.0,0.0,34086.53873129562,30103.40403418878,7095.678565885991,7438.917028218656,8909.816373112317,3535.2621374565476,6697.589786504895,7513.964367288955,8730.45833420066,8000.443191999397,8286.235310042928,8605.875986485024,10428.823748945451,9029.353765381371,0.0,0.45783033033354678,0.03819464841445921,0.419635681919088,15.0,11.403450343224409,36.48433921873514,12.20000000000001,12.20000000000001 
 01/21  02:00:00,-6.300000000000007,13.799226066980533,37884.1802559512,0.0,0.0,0.0,34115.238883087266,30104.354562877725,7094.827883560395,7438.247203848999,8908.895404034307,3534.4062594003464,6700.8810672233989,7517.081942928682,8734.410466524674,8003.757176568942,8286.656357122025,8606.33946228055,10429.393251778174,9029.898439415603,0.0,0.45783033033354678,0.03826950414520398,0.41956082618834319,15.0,11.401278274146759,36.48139077380139,12.20000000000001,12.20000000000001 
 01/21  03:00:00,-6.300000000000007,13.789625944607567,37885.70811442814,0.0,0.0,0.0,34127.667959012164,30091.129070970255,7090.018481974281,7433.876096780786,8903.302260206015,3529.828567111125,6700.66255345014,7516.678537222759,8734.075321711738,8003.314341909209,8283.4235501599,8603.323823695417,10425.613686120276,9026.763133794486,0.0,0.45783033033354678,0.03830666475481858,0.4195236655787285,15.0,11.39956075104664,36.47910748083929,12.20000000000001,12.20000000000001 
 01/21  04:00:00,-6.300000000000007,13.782570733727504,37878.35245021216,0.0,0.0,0.0,34130.12195596003,30070.572287900588,7083.224799808805,7427.690568301743,8895.388411689077,3523.4382397038118,6698.58227646084,7514.450715448058,8731.487318193473,8000.93118423607,8278.418546490198,8598.659877126429,10419.745098975009,9021.887916725042,0.0,0.45783033033354678,0.03832074108977545,0.41950958924377165,15.0,11.398212961808803,36.477351421596647,12.20000000000001,12.20000000000001 
 01/21  05:00:00,-6.300000000000007,13.776965662218946,37868.3404944747,0.0,0.0,0.0,34128.0197247067,30048.127010237564,7076.026734290076,7421.18224406729,8887.025352484092,3516.737281724794,6695.97619319129,7511.755546315969,8728.28615916373,7998.057694961358,8273.138807354635,8593.785935490036,10413.575709867819,9016.79424035936,0.0,0.45783033033354678,0.03832429414537899,0.41950603618816825,15.0,11.397135557038152,36.475971304908608,12.20000000000001,12.20000000000001 
 01/21  06:00:00,-6.300000000000007,13.77197847106783,37859.84820325269,0.0,0.0,0.0,34125.29245717727,30027.40728416686,7069.475165431415,7415.329620956952,8879.450474106337,3510.7061683911099,6693.745787464766,7509.495152575656,8725.571288596078,7995.655572685045,8268.57033943976,8589.635066269702,10408.275299003293,9012.467191325932,0.0,0.45783033033354678,0.038326395568133397,0.41950393476541389,15.0,11.396233958454504,36.47482812409854,12.20000000000001,12.20000000000001 
 01/21  07:00:00,-6.300000000000007,14.001180850452549,37845.797379007636,0.0,0.0,0.0,34120.67752206246,30006.632124072374,7289.302002533916,7614.323343045875,9133.469163235606,3685.14654833591,6804.2953944614869,7615.043835192671,8857.496562531947,8105.7214443056759,8457.585391606575,8762.295589169476,10628.207521227945,9190.970640305699,0.0,0.45783033033354678,0.0382607778688382,0.4195695524647089,15.0,11.399223441848209,36.482007289334529,12.20000000000001,12.20000000000001 
 01/21  08:00:00,-6.300000000000007,14.054530316560509,37742.38771958446,0.0,0.0,0.0,34044.07929004821,29919.735969781974,7297.415978156238,7614.825422088022,9138.84999310754,3680.2984536960618,6800.753211772853,7606.143989576777,8850.317949018714,8094.974010755902,8464.869473900515,8762.15687167336,10632.878400427897,9189.13426932556,0.0,0.45783033033354678,0.03799536813418402,0.41983496219936319,15.0,11.405302494092613,36.494273718790669,12.20000000000001,12.20000000000001 
 01/21  09:00:00,-6.300000000000007,14.090774734112073,37591.13282997037,0.0,0.0,0.0,33917.29487624422,29793.828435241667,7268.36789159774,7585.4741737090039,9103.177186722669,3649.4995026931489,6772.591838395168,7575.997977532101,8814.844748393263,8062.376141593838,8437.517598323104,8733.77314711296,10598.892359085188,9158.58235461889,0.0,0.45783033033354678,0.037672140563869,0.42015818976967819,15.0,11.409718135677887,36.501962810429798,12.20000000000001,12.20000000000001 
 01/21  10:00:00,-6.300000000000007,14.124051356254573,37451.7789470344,0.0,0.0,0.0,33792.34689146794,29679.313995752433,7239.484183218237,7557.224623183836,9068.329414637032,3620.7070754839717,6744.968385367731,7547.288915261425,8780.536891426917,8031.532725421058,8410.168605300803,8706.432951282364,10565.552066579598,9129.394755531803,0.0,0.45783033033354678,0.037375179083600679,0.42045515124994639,15.0,11.413467953292152,36.50788523992063,12.20000000000001,12.20000000000001 
