Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,126003540.2713412,126003540.2713412,0.0,0.0 
 01/21  02:00:00,126003540.2713412,126003540.2713412,0.0,0.0 
 01/21  03:00:00,126003540.2713412,126003540.2713412,0.0,0.0 
 01/21  04:00:00,126003540.2713412,126003540.2713412,0.0,0.0 
 01/21  05:00:00,126003540.2713412,126003540.2713412,0.0,0.0 
 01/21  06:00:00,126003540.2713412,126003540.2713412,0.0,0.0 
 01/21  07:00:00,136363800.2713412,136363800.2713412,0.0,0.0 
 01/21  08:00:00,131650950.2713412,131650950.2713412,0.0,0.0 
 01/21  09:00:00,117512400.2713412,117512400.27134122,0.0,0.0 
 01/21  10:00:00,117512400.2713412,117512400.27134122,0.0,0.0 
 01/21  11:00:00,117512400.2713412,117512400.27134122,0.0,0.0 
 01/21  12:00:00,117512400.2713412,117512400.27134122,0.0,0.0 
 01/21  13:00:00,117512400.2713412,117512400.27134122,0.0,0.0 
 01/21  14:00:00,117512400.2713412,117512400.27134122,0.0,0.0 
 01/21  15:00:00,117512400.2713412,117512400.27134122,0.0,0.0 
 01/21  16:00:00,117512400.2713412,117512400.27134122,0.0,0.0 
 01/21  17:00:00,117512400.2713412,117512400.27134122,0.0,0.0 
 01/21  18:00:00,120025920.2713412,120025920.27134122,0.0,0.0 
 01/21  19:00:00,136363800.2713412,136363800.2713412,0.0,0.0 
 01/21  20:00:00,128548920.2713412,128548920.2713412,0.0,0.0 
 01/21  21:00:00,128548920.2713412,128548920.2713412,0.0,0.0 
 01/21  22:00:00,128548920.2713412,128548920.2713412,0.0,0.0 
 01/21  23:00:00,128548920.2713412,128548920.2713412,0.0,0.0 
 01/21  24:00:00,128548920.2713412,128548920.2713412,0.0,0.0 
 07/21  01:00:00,528872627.4189922,528872627.4189922,152517470.7542746,224813060.55296675 
 07/21  02:00:00,529469326.94790938,529469326.94790938,152517470.7542746,224813060.55296675 
 07/21  03:00:00,529751326.94790938,529751326.94790938,152517470.7542746,224813060.55296675 
 07/21  04:00:00,529865326.94790938,529865326.94790938,152517470.7542746,224813060.55296675 
 07/21  05:00:00,529991326.94790938,529991326.94790938,152517470.7542746,224813060.55296675 
 07/21  06:00:00,527882922.70631018,527882922.70631018,152399851.51267544,224813060.55296675 
 07/21  07:00:00,493239502.9781371,493239502.9781371,129723979.24717574,224813060.55296675 
 07/21  08:00:00,488138434.2144418,488138434.2144417,120394417.54972403,224813060.55296675 
 07/21  09:00:00,471243929.86327967,471243929.86327967,119991185.40467149,224813060.55296675 
 07/21  10:00:00,471243929.86327967,471243929.86327967,119991185.40467149,224813060.55296675 
 07/21  11:00:00,471267929.86327967,471267929.86327967,119991185.40467149,224813060.55296675 
 07/21  12:00:00,471243929.86327967,471243929.86327967,119991185.40467149,224813060.55296675 
 07/21  13:00:00,471243929.86327967,471243929.86327967,119991185.40467149,224813060.55296675 
 07/21  14:00:00,471333929.86327967,471333929.86327967,119991185.40467149,224813060.55296675 
 07/21  15:00:00,471357929.86327967,471357929.86327967,119991185.40467149,224813060.55296675 
 07/21  16:00:00,471279929.86327967,471279929.86327967,119991185.40467149,224813060.55296675 
 07/21  17:00:00,471339929.86327967,471339929.86327967,119991185.40467149,224813060.55296675 
 07/21  18:00:00,471338185.631682,471338185.631682,120025441.17307365,224813060.55296675 
 07/21  19:00:00,473786042.0194439,473786042.01944389,122515297.56083551,224813060.55296675 
 07/21  20:00:00,501445198.2690928,501445198.2690928,146697555.81048496,224813060.55296675 
 07/21  21:00:00,514806735.21288248,514806735.21288248,152517470.7542746,224813060.55296675 
 07/21  22:00:00,514806735.21288248,514806735.21288248,152517470.7542746,224813060.55296675 
 07/21  23:00:00,514806735.21288248,514806735.21288248,152517470.7542746,224813060.55296675 
 07/21  24:00:00,518151129.55988809,518151129.55988809,152517470.7542746,224813060.55296675 
 07/01  01:00:00,69964992.15032232,69964992.15032232,7625873.53771374,44533202.00181081 
 07/01  02:00:00,76174843.2241876,76174843.22418759,7625873.53771374,44533202.00181081 
 07/01  03:00:00,84003157.06651911,84003157.06651911,7625873.53771374,44533202.00181081 
 07/01  04:00:00,84996132.2454967,84996132.24549669,7625873.53771374,44533202.00181081 
 07/01  05:00:00,84454644.6560079,84454644.6560079,7625873.53771374,44533202.00181081 
 07/01  06:00:00,94587666.89424919,94587666.89424919,14835019.70208967,44533202.00181081 
 07/01  07:00:00,100024427.88948286,100024427.88948284,10806640.641844433,55180531.87831209 
 07/01  08:00:00,268853275.4872775,268853275.4872775,31270023.132256438,95796493.41677362 
 07/01  09:00:00,439258145.60916659,439258145.60916659,93124323.85391505,204227663.7591696 
 07/01  10:00:00,393619814.37586817,393619814.37586817,93124323.85391505,174055806.61631225 
 07/01  11:00:00,386657078.1121327,386657078.1121327,93124323.85391505,167093070.3525762 
 07/01  12:00:00,393619814.37586817,393619814.37586817,93124323.85391505,174055806.61631225 
 07/01  13:00:00,397543522.0656314,397543522.0656314,93124323.85391505,177667514.30607493 
 07/01  14:00:00,399434094.5956491,399434094.5956491,93124323.85391505,179858086.83609239 
 07/01  15:00:00,386657078.1121327,386657078.1121327,93124323.85391505,167093070.3525762 
 07/01  16:00:00,386666745.62610957,386666745.62610957,93133991.36789204,167093070.3525762 
 07/01  17:00:00,398281428.65129628,398281428.65129628,94304569.99747429,177537174.74818046 
 07/01  18:00:00,320261319.99787726,320261319.99787726,52897696.51907077,140923939.57316477 
 07/01  19:00:00,240530279.12963603,240530279.12963606,33000511.074774714,69106004.40578471 
 07/01  20:00:00,245270935.4870771,245270935.4870771,38899677.792273219,59822356.054136309 
 07/01  21:00:00,241500475.59053604,241500475.59053604,26303943.895732464,59822356.054136309 
 07/01  22:00:00,113140736.11404604,113140736.11404604,26303943.895732464,55180531.87831209 
 07/01  23:00:00,110898279.19550471,110898279.19550468,13151971.947866232,55180531.87831209 
 07/01  24:00:00,103842293.22157146,103842293.22157146,6575985.973933116,55180531.87831209 
 07/02  01:00:00,69964992.15032232,69964992.15032232,7625873.53771374,44533202.00181081 
 07/02  02:00:00,74622380.4557213,74622380.45572129,7625873.53771374,44533202.00181081 
 07/02  03:00:00,88077057.78242931,88077057.78242931,7625873.53771374,44533202.00181081 
 07/02  04:00:00,83937157.06651919,83937157.06651919,7625873.53771374,44533202.00181081 
 07/02  05:00:00,75175868.04521014,75175868.04521014,7625873.53771374,44533202.00181081 
 07/02  06:00:00,85599617.65678913,85599617.65678911,15251747.07542748,44533202.00181081 
 07/02  07:00:00,98454648.30764248,98454648.30764248,12100348.64949286,55180531.87831209 
