Time,DOAS:DesPer 1:Des Heat Mass Flow [kg/s],DOAS:DesPer 1:Des Heat Cap [W],DOAS:DesPer 1:Des Cool Mass Flow [kg/s],DOAS:DesPer 1:Des Sens Cool Cap [W],DOAS:DesPer 1:Des Tot Cool Cap [W],DOAS:DesPer 2:Des Heat Mass Flow [kg/s],DOAS:DesPer 2:Des Heat Cap [W],DOAS:DesPer 2:Des Cool Mass Flow [kg/s],DOAS:DesPer 2:Des Sens Cool Cap [W],DOAS:DesPer 2:Des Tot Cool Cap [W]
00:01:00,3.085430E+00,5.735779E+04,2.497462E+00,0.000000E+00,0.000000E+00,2.497462E+00,0.000000E+00,4.211990E+00,5.840998E+04,1.154717E+05
00:02:00,3.088162E+00,5.740857E+04,2.497462E+00,0.000000E+00,0.000000E+00,2.497462E+00,0.000000E+00,4.211470E+00,5.836257E+04,1.154159E+05
00:03:00,3.090868E+00,5.745888E+04,2.497462E+00,0.000000E+00,0.000000E+00,2.497462E+00,0.000000E+00,4.210895E+00,5.831441E+04,1.153588E+05
00:04:00,3.093550E+00,5.750874E+04,2.497462E+00,0.000000E+00,0.000000E+00,2.497462E+00,0.000000E+00,4.210271E+00,5.826557E+04,1.153002E+05
00:05:00,3.096207E+00,5.755813E+04,2.497462E+00,0.000000E+00,0.000000E+00,2.497462E+00,0.000000E+00,4.209600E+00,5.821610E+04,1.152404E+05
00:06:00,3.098842E+00,5.760711E+04,2.497462E+00,0.000000E+00,0.000000E+00,2.497462E+00,0.000000E+00,4.208884E+00,5.816602E+04,1.151793E+05
00:07:00,3.101454E+00,5.765567E+04,2.497462E+00,0.000000E+00,0.000000E+00,2.497462E+00,0.000000E+00,4.208125E+00,5.811536E+04,1.151171E+05
00:08:00,3.104045E+00,5.770384E+04,2.497462E+00,0.000000E+00,0.000000E+00,2.497462E+00,0.000000E+00,4.207324E+00,5.806414E+04,1.150538E+05
00:09:00,3.106616E+00,5.775162E+04,2.497462E+00,0.000000E+00,0.000000E+00,2.497462E+00,0.000000E+00,4.206484E+00,5.801238E+04,1.149894E+05
00:10:00,3.109167E+00,5.779905E+04,2.497462E+00,0.000000E+00,0.000000E+00,2.497462E+00,0.000000E+00,4.205604E+00,5.796010E+04,1.149240E+05
