Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,32017036.58397698,32017036.58397698,0.0,0.0 
 01/21  02:00:00,31921036.58397698,31921036.58397698,0.0,0.0 
 01/21  03:00:00,32047036.58397698,32047036.58397698,0.0,0.0 
 01/21  04:00:00,31927036.58397698,31927036.58397698,0.0,0.0 
 01/21  05:00:00,32053036.58397698,32053036.583976985,0.0,0.0 
 01/21  06:00:00,31957036.58397698,31957036.58397698,0.0,0.0 
 01/21  07:00:00,42359296.58397703,42359296.58397703,0.0,0.0 
 01/21  08:00:00,30354076.58397698,30354076.58397698,0.0,0.0 
 01/21  09:00:00,23477896.583976985,23477896.583976985,0.0,0.0 
 01/21  10:00:00,23543896.583976985,23543896.583976985,0.0,0.0 
 01/21  11:00:00,23501896.583976985,23501896.583976985,0.0,0.0 
 01/21  12:00:00,23507896.583976985,23507896.583976985,0.0,0.0 
 01/21  13:00:00,23453896.583976985,23453896.583976985,0.0,0.0 
 01/21  14:00:00,23537896.583976985,23537896.583976985,0.0,0.0 
 01/21  15:00:00,23471896.583976985,23471896.583976985,0.0,0.0 
 01/21  16:00:00,23483896.583976985,23483896.583976985,0.0,0.0 
 01/21  17:00:00,23501896.583976985,23501896.583976985,0.0,0.0 
 01/21  18:00:00,42051106.58397702,42051106.58397702,0.0,0.0 
 01/21  19:00:00,42383296.58397703,42383296.58397703,0.0,0.0 
 01/21  20:00:00,34550416.583976987,34550416.583976987,0.0,0.0 
 01/21  21:00:00,34532416.583976987,34532416.583976987,0.0,0.0 
 01/21  22:00:00,34484416.583976987,34484416.583976987,0.0,0.0 
 01/21  23:00:00,34538416.583976987,34538416.583976987,0.0,0.0 
 01/21  24:00:00,34568416.583976987,34568416.583976987,0.0,0.0 
 07/21  01:00:00,426806800.32032486,426806800.32032486,152517470.7542746,224813060.55296675 
 07/21  02:00:00,426590800.32032486,426590800.32032486,152517470.7542746,224813060.55296675 
 07/21  03:00:00,426722800.32032486,426722800.32032486,152517470.7542746,224813060.55296675 
 07/21  04:00:00,426566800.32032486,426566800.32032486,152517470.7542746,224813060.55296675 
 07/21  05:00:00,425615686.32032486,425615686.32032486,152517470.7542746,224813060.55296675 
 07/21  06:00:00,401778343.39535745,401778343.39535745,134733731.3690857,224813060.55296675 
 07/21  07:00:00,390351945.7274525,390351945.7274525,120750307.46799438,224813060.55296675 
 07/21  08:00:00,393409274.70401605,393409274.704016,119991185.40467149,224813060.55296675 
 07/21  09:00:00,393587208.43713626,393587208.4371362,119991185.40467149,224813060.55296675 
 07/21  10:00:00,394131167.63012507,394131167.6301249,119991185.40467149,224813060.55296675 
 07/21  11:00:00,394566954.50955387,394566954.50955387,119991185.40467149,224813060.55296675 
 07/21  12:00:00,394440262.2206416,394440262.22064158,119991185.40467149,224813060.55296675 
 07/21  13:00:00,394586340.45116087,394586340.4511608,119991185.40467149,224813060.55296675 
 07/21  14:00:00,395560974.495808,395560974.495808,119991185.40467149,224813060.55296675 
 07/21  15:00:00,396241051.57128229,396241051.5712822,119991185.40467149,224813060.55296675 
 07/21  16:00:00,396087005.9446228,396087005.9446228,119991185.40467149,224813060.55296675 
 07/21  17:00:00,395184819.49064758,395184819.4906475,119991185.40467149,224813060.55296675 
 07/21  18:00:00,394379864.44317916,394379864.4431791,120379678.80708675,224813060.55296675 
 07/21  19:00:00,400202153.6659308,400202153.6659308,128132992.16329445,224813060.55296675 
 07/21  20:00:00,430236107.8447601,430236107.84476,152078715.3191443,224813060.55296675 
 07/21  21:00:00,433931715.160682,433931715.160682,152517470.7542746,224813060.55296675 
 07/21  22:00:00,433868093.04664447,433868093.04664447,152517470.7542746,224813060.55296675 
 07/21  23:00:00,429652180.32032486,429652180.32032486,152517470.7542746,224813060.55296675 
 07/21  24:00:00,429472180.32032486,429472180.32032486,152517470.7542746,224813060.55296675 
 06/01  01:00:00,61372173.71407348,61372173.71407348,7625873.53771374,44533202.00181081 
 06/01  02:00:00,60987129.354314047,60987129.354314047,7625873.53771374,44533202.00181081 
 06/01  03:00:00,61372173.71407348,61372173.71407348,7625873.53771374,44533202.00181081 
 06/01  04:00:00,67342608.92349832,67342608.92349832,7625873.53771374,44533202.00181081 
 06/01  05:00:00,60571342.06295523,60571342.06295523,7625873.53771374,44533202.00181081 
 06/01  06:00:00,72849726.58770073,72849726.58770071,14616292.863020529,44533202.00181081 
 06/01  07:00:00,98447659.13723317,98447659.13723319,11064692.525586734,55180531.87831209 
 06/01  08:00:00,167714480.8514147,167714480.8514147,31681617.218317797,95796493.41677362 
 06/01  09:00:00,337506139.87007549,337506139.87007549,94032720.13693321,204227663.7591696 
 06/01  10:00:00,306033876.7377479,306033876.73774787,93625176.43462494,174055806.61631225 
 06/01  11:00:00,298367459.7517884,298367459.7517884,93124323.85391505,167093070.3525762 
 06/01  12:00:00,306139629.4466166,306139629.4466166,93181588.37292707,174055806.61631225 
 06/01  13:00:00,311594799.8926775,311594799.8926775,93124323.85391505,177667514.30607493 
