Date/Time,PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Pump Electricity Rate [W](Hourly),BOILER_RADSYS:Boiler Electricity Rate [W](Hourly),HOT WATER LOOP HW SUPPLY PUMP2:Pump Electricity Rate [W](Hourly) 
 01/21  01:00:00,20.76608031756038,7023.866743881095,60.0,8765.883306275598,54.992337948717949 
 01/21  02:00:00,20.928163998131994,6665.082403626207,60.0,8228.650191252586,54.992337948717949 
 01/21  03:00:00,20.89964879443999,6743.435060536603,60.0,8365.455250533923,54.992337948717949 
 01/21  04:00:00,20.89174728760005,6779.087742008385,60.0,8349.757054572761,54.992337948717949 
 01/21  05:00:00,20.90078351891747,6770.212413346235,60.0,8359.37591943146,54.992337948717949 
 01/21  06:00:00,20.92386220181769,6736.754373513696,60.0,8300.99940120466,54.992337948717949 
 01/21  07:00:00,20.94658733426584,6687.916080951373,60.0,8212.38841548101,54.992337948717949 
 01/21  08:00:00,20.902638857892368,6784.544224417751,60.0,8375.537061651137,54.992337948717949 
 01/21  09:00:00,21.12310167607141,6332.649202597624,60.0,7827.023010171026,54.992337948717949 
 01/21  10:00:00,21.52497546492568,5464.909468846103,60.0,6696.7517822676659,54.992337948717949 
 01/21  11:00:00,21.746846067355443,4976.2063650359109,60.0,6069.7030142094249,54.992337948717949 
 01/21  12:00:00,21.875114671075754,4705.197683779379,60.0,5756.327879726935,54.992337948717949 
 01/21  13:00:00,21.94896171504287,4530.135346065636,60.0,5547.89570700048,54.992337948717949 
 01/21  14:00:00,21.981411924198587,2948.129481852925,39.0,3612.2528949782256,35.745019666666667 
 01/21  15:00:00,21.865385572630733,4559.6077490679049,57.0,5599.056928784129,52.24272105128205 
 01/21  16:00:00,21.641467202014018,5237.7243375086159,60.0,6430.816640000361,54.992337948717949 
 01/21  17:00:00,21.676481606225474,5187.3855610336,60.0,6379.004742936645,54.992337948717949 
 01/21  18:00:00,21.684398816250988,5162.801470247222,60.0,6333.430372598194,54.992337948717949 
 01/21  19:00:00,21.459693841458287,5656.936616711106,60.0,6951.7317551524279,54.992337948717949 
 01/21  20:00:00,21.311259614892284,5970.496077884471,60.0,7346.095562300097,54.992337948717949 
 01/21  21:00:00,21.139535902767283,6312.682927182383,60.0,7795.963079406161,54.992337948717949 
 01/21  22:00:00,20.94752762904092,6687.132930193342,60.0,8243.041291951968,54.992337948717949 
 01/21  23:00:00,20.837493626640496,6898.237929184112,60.0,8536.66180900027,54.992337948717949 
 01/21  24:00:00,20.750487645208787,7040.5243291558349,60.0,8687.292340816772,54.992337948717949 
 01/22  01:00:00,20.611546774449054,7309.925205154448,60.0,9067.630074511782,54.992337948717949 
 01/22  02:00:00,20.44123429074418,7632.475165253064,60.0,9448.048424743502,54.992337948717949 
 01/22  03:00:00,20.40481827697947,7708.148179912445,60.0,9537.870703328404,54.992337948717949 
 01/22  04:00:00,20.52122970034066,7445.685277872454,60.0,9229.105400699258,54.992337948717949 
 01/22  05:00:00,20.50731423126532,7470.141550368127,60.0,9231.79064331583,54.992337948717949 
 01/22  06:00:00,20.294014225961204,7895.781392752088,60.0,9772.391550988268,54.992337948717949 
 01/22  07:00:00,20.93049543006886,6658.388757537165,60.0,8260.19353763883,54.992337948717949 
 01/22  08:00:00,18.90798621630254,10759.299527305237,60.0,13275.422263501063,54.992337948717949 
 01/22  09:00:00,19.230398970549126,9929.287670574844,60.0,12363.678801040565,54.992337948717949 
 01/22  10:00:00,19.46515982468404,9278.020886314433,60.0,11511.632009901492,54.992337948717949 
 01/22  11:00:00,19.701648208362138,8677.04704246664,60.0,10762.497358721737,54.992337948717949 
 01/22  12:00:00,19.832928346522097,8302.573263656386,60.0,10304.996092156345,54.992337948717949 
 01/22  13:00:00,19.73652286971092,8457.70898697569,60.0,10514.225181564965,54.992337948717949 
 01/22  14:00:00,19.87446639035432,8125.416057605291,60.0,10049.845999824462,54.992337948717949 
 01/22  15:00:00,19.86723783311104,8116.116511749421,60.0,10047.414184810474,54.992337948717949 
 01/22  16:00:00,19.75619001170896,8341.877672214614,60.0,10342.992549575723,54.992337948717949 
 01/22  17:00:00,19.69073471215078,8509.05949316408,60.0,10565.86843393749,54.992337948717949 
 01/22  18:00:00,19.251811480106558,9442.4174619321,60.0,11684.013205142752,54.992337948717949 
 01/22  19:00:00,18.930276095471677,10166.86970572471,60.0,12608.116142508085,54.992337948717949 
 01/22  20:00:00,18.827249724264847,10391.104517873568,60.0,12893.646067435355,54.992337948717949 
 01/22  21:00:00,18.642776638225379,10780.517846627754,60.0,13375.702322471037,54.992337948717949 
 01/22  22:00:00,20.650034723018356,6714.828118534397,60.0,8393.042603464895,54.992337948717949 
 01/22  23:00:00,19.419602311811894,9385.49789414616,60.0,11566.625474262435,54.992337948717949 
 01/22  24:00:00,19.141914482210873,10016.458050715297,60.0,12422.645149626578,54.992337948717949 
