Time,DOAS:DesPer 1:Des Heat Mass Flow [kg/s],DOAS:DesPer 1:Des Heat Cap [W],DOAS:DesPer 1:Des Cool Mass Flow [kg/s],DOAS:DesPer 1:Des Sens Cool Cap [W],DOAS:DesPer 1:Des Tot Cool Cap [W],DOAS:DesPer 2:Des Heat Mass Flow [kg/s],DOAS:DesPer 2:Des Heat Cap [W],DOAS:DesPer 2:Des Cool Mass Flow [kg/s],DOAS:DesPer 2:Des Sens Cool Cap [W],DOAS:DesPer 2:Des Tot Cool Cap [W]
00:03:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.783147E+00,5.021742E+04,9.803035E+04
00:06:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.790569E+00,5.023138E+04,9.813553E+04
00:09:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.797949E+00,5.024445E+04,9.823926E+04
00:12:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.805122E+00,5.025446E+04,9.833730E+04
00:15:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.812099E+00,5.026157E+04,9.842999E+04
00:18:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.818974E+00,5.026702E+04,9.851969E+04
00:21:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.825954E+00,5.027355E+04,9.861178E+04
00:24:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.832760E+00,5.027748E+04,9.869906E+04
00:27:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.839399E+00,5.027892E+04,9.878183E+04
00:30:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.845881E+00,5.027801E+04,9.886017E+04
00:33:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.852213E+00,5.027485E+04,9.893436E+04
00:36:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.858404E+00,5.026958E+04,9.900465E+04
00:39:00,2.579434E+00,5.935603E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.864461E+00,5.026229E+04,9.907123E+04
00:42:00,2.580450E+00,5.937941E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.870391E+00,5.025307E+04,9.913425E+04
00:45:00,2.581950E+00,5.941393E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.876197E+00,5.024199E+04,9.919384E+04
00:48:00,2.583899E+00,5.945878E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.881885E+00,5.022912E+04,9.925015E+04
00:51:00,2.585805E+00,5.950265E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.887492E+00,5.021494E+04,9.930411E+04
00:54:00,2.587670E+00,5.954555E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.893366E+00,5.020397E+04,9.936465E+04
00:57:00,2.589495E+00,5.958754E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.899181E+00,5.019197E+04,9.942347E+04
01:00:00,2.592502E+00,5.965674E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.906489E+00,5.019889E+04,9.951999E+04
01:03:00,2.595644E+00,5.972905E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.916791E+00,5.027304E+04,9.972243E+04
01:06:00,2.598722E+00,5.979988E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.926985E+00,5.034548E+04,9.992177E+04
01:09:00,2.602961E+00,5.989743E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.937068E+00,5.041619E+04,1.001180E+05
01:12:00,2.607218E+00,5.999537E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.948584E+00,5.050493E+04,1.003503E+05
01:15:00,2.611390E+00,6.009138E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.961524E+00,5.061153E+04,1.006184E+05
01:18:00,2.615482E+00,6.018555E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.974518E+00,5.071843E+04,1.008876E+05
01:21:00,2.619497E+00,6.027793E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.987382E+00,5.082328E+04,1.011530E+05
01:24:00,2.623436E+00,6.036858E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.000117E+00,5.092612E+04,1.014147E+05
01:27:00,2.627303E+00,6.045755E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.012729E+00,5.102700E+04,1.016729E+05
01:30:00,2.631098E+00,6.054488E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.025330E+00,5.112738E+04,1.019305E+05
01:33:00,2.634825E+00,6.063064E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.038086E+00,5.122935E+04,1.021917E+05
01:36:00,2.638485E+00,6.071487E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.050722E+00,5.132941E+04,1.024493E+05
01:39:00,2.642081E+00,6.079761E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.063242E+00,5.142762E+04,1.027038E+05
01:42:00,2.645614E+00,6.087892E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.075647E+00,5.152402E+04,1.029549E+05
01:45:00,2.649086E+00,6.095882E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.087942E+00,5.161866E+04,1.032028E+05
01:48:00,2.652500E+00,6.103736E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.100128E+00,5.171156E+04,1.034476E+05
01:51:00,2.655855E+00,6.111458E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.112209E+00,5.180277E+04,1.036893E+05
01:54:00,2.659154E+00,6.119050E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.124187E+00,5.189233E+04,1.039282E+05
01:57:00,2.662399E+00,6.126515E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.136518E+00,5.198596E+04,1.041755E+05
02:00:00,2.665589E+00,6.133858E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.148942E+00,5.208039E+04,1.044248E+05
02:03:00,2.668727E+00,6.141079E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.161255E+00,5.218855E+04,1.046869E+05
02:06:00,2.671814E+00,6.148181E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.173461E+00,5.229507E+04,1.049459E+05
02:09:00,2.674850E+00,6.155167E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.185561E+00,5.240000E+04,1.052021E+05
02:12:00,2.677836E+00,6.162038E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.197557E+00,5.250337E+04,1.054554E+05
02:15:00,2.680773E+00,6.168797E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.209451E+00,5.260519E+04,1.057058E+05
02:18:00,2.683660E+00,6.175440E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.221246E+00,5.270551E+04,1.059534E+05
02:21:00,2.686496E+00,6.181966E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.232943E+00,5.280433E+04,1.061984E+05
02:24:00,2.689284E+00,6.188381E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.244543E+00,5.290170E+04,1.064406E+05
02:27:00,2.692022E+00,6.194683E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.256048E+00,5.299762E+04,1.066802E+05
02:30:00,2.694714E+00,6.200876E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.267460E+00,5.309213E+04,1.069172E+05
02:33:00,2.697358E+00,6.206962E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.278780E+00,5.318523E+04,1.071516E+05
02:36:00,2.699963E+00,6.212954E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.290009E+00,5.327697E+04,1.073836E+05
02:39:00,2.702527E+00,6.218857E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.301150E+00,5.336734E+04,1.076129E+05
02:42:00,2.705055E+00,6.224673E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.312202E+00,5.345638E+04,1.078399E+05
02:45:00,2.707548E+00,6.230409E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.323169E+00,5.354411E+04,1.080644E+05
02:48:00,2.710007E+00,6.236067E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.334049E+00,5.363053E+04,1.082866E+05
02:51:00,2.712434E+00,6.241652E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.344846E+00,5.371567E+04,1.085064E+05
02:54:00,2.714830E+00,6.247165E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.355560E+00,5.379954E+04,1.087239E+05
02:57:00,2.717196E+00,6.252611E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.366192E+00,5.388217E+04,1.089391E+05
