Time,DOAS:DesPer 1:Des Heat Mass Flow [kg/s],DOAS:DesPer 1:Des Heat Cap [W],DOAS:DesPer 1:Des Cool Mass Flow [kg/s],DOAS:DesPer 1:Des Sens Cool Cap [W],DOAS:DesPer 1:Des Tot Cool Cap [W],DOAS:DesPer 2:Des Heat Mass Flow [kg/s],DOAS:DesPer 2:Des Heat Cap [W],DOAS:DesPer 2:Des Cool Mass Flow [kg/s],DOAS:DesPer 2:Des Sens Cool Cap [W],DOAS:DesPer 2:Des Tot Cool Cap [W]
00:03:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.762389E+00,4.994189E+04,9.749247E+04
00:06:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.769340E+00,4.995006E+04,9.758592E+04
00:09:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.776100E+00,4.995541E+04,9.767411E+04
00:12:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.782679E+00,4.995806E+04,9.775731E+04
00:15:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.789088E+00,4.995817E+04,9.783582E+04
00:18:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.795334E+00,4.995586E+04,9.790984E+04
00:21:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.801427E+00,4.995125E+04,9.797959E+04
00:24:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.807375E+00,4.994448E+04,9.804536E+04
00:27:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.813185E+00,4.993564E+04,9.810739E+04
00:30:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.818864E+00,4.992481E+04,9.816569E+04
00:33:00,2.578414E+00,5.933257E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.824417E+00,4.991209E+04,9.822048E+04
00:36:00,2.578416E+00,5.933260E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.829849E+00,4.989756E+04,9.827196E+04
00:39:00,2.579457E+00,5.935655E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.835167E+00,4.988128E+04,9.832024E+04
00:42:00,2.580473E+00,5.937995E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.840598E+00,4.986625E+04,9.837116E+04
00:45:00,2.581889E+00,5.941253E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.846428E+00,4.985614E+04,9.843204E+04
00:48:00,2.583841E+00,5.945744E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.852142E+00,4.984427E+04,9.848971E+04
00:51:00,2.585750E+00,5.950136E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.857747E+00,4.983073E+04,9.854430E+04
00:54:00,2.587617E+00,5.954433E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.863247E+00,4.981559E+04,9.859596E+04
00:57:00,2.589444E+00,5.958637E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.868648E+00,4.979893E+04,9.864492E+04
01:00:00,2.592496E+00,5.965660E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.873955E+00,4.978083E+04,9.869118E+04
01:03:00,2.595638E+00,5.972890E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.880033E+00,4.980123E+04,9.878654E+04
01:06:00,2.598716E+00,5.979973E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.886037E+00,4.982051E+04,9.887985E+04
01:09:00,2.602997E+00,5.989824E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.894590E+00,4.987223E+04,9.903777E+04
01:12:00,2.607252E+00,5.999617E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.903632E+00,4.992997E+04,9.920788E+04
01:15:00,2.611425E+00,6.009218E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.912581E+00,4.998625E+04,9.937535E+04
01:18:00,2.615517E+00,6.018634E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.922691E+00,5.005706E+04,9.957198E+04
01:21:00,2.619531E+00,6.027871E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.934827E+00,5.015342E+04,9.981974E+04
01:24:00,2.623470E+00,6.036936E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.946854E+00,5.024802E+04,1.000643E+05
01:27:00,2.627336E+00,6.045832E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.958775E+00,5.034091E+04,1.003059E+05
01:30:00,2.631131E+00,6.054565E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.970591E+00,5.043211E+04,1.005444E+05
01:33:00,2.634858E+00,6.063141E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.982303E+00,5.052165E+04,1.007800E+05
01:36:00,2.638518E+00,6.071563E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,3.993914E+00,5.060955E+04,1.010126E+05
01:39:00,2.642114E+00,6.079837E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.005425E+00,5.069585E+04,1.012424E+05
01:42:00,2.645647E+00,6.087967E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.016839E+00,5.078058E+04,1.014693E+05
01:45:00,2.649119E+00,6.095957E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.028666E+00,5.087018E+04,1.017063E+05
01:48:00,2.652532E+00,6.103811E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.040606E+00,5.096085E+04,1.019458E+05
01:51:00,2.655887E+00,6.111532E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.052449E+00,5.104995E+04,1.021825E+05
01:54:00,2.659187E+00,6.119124E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.064196E+00,5.113749E+04,1.024164E+05
01:57:00,2.662431E+00,6.126590E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.075850E+00,5.122351E+04,1.026476E+05
02:00:00,2.665622E+00,6.133932E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.087412E+00,5.130803E+04,1.028761E+05
02:03:00,2.668760E+00,6.141153E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.098879E+00,5.140625E+04,1.031177E+05
02:06:00,2.671846E+00,6.148255E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.110251E+00,5.150304E+04,1.033565E+05
02:09:00,2.674882E+00,6.155241E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.121532E+00,5.159841E+04,1.035928E+05
02:12:00,2.677868E+00,6.162112E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.132721E+00,5.169239E+04,1.038265E+05
02:15:00,2.680805E+00,6.168871E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.143821E+00,5.178501E+04,1.040577E+05
02:18:00,2.683692E+00,6.175514E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.154832E+00,5.187628E+04,1.042865E+05
02:21:00,2.686528E+00,6.182041E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.165758E+00,5.196623E+04,1.045128E+05
02:24:00,2.689316E+00,6.188456E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.176826E+00,5.205772E+04,1.047425E+05
02:27:00,2.692055E+00,6.194759E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.188331E+00,5.215439E+04,1.049829E+05
02:30:00,2.694746E+00,6.200951E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.199898E+00,5.225158E+04,1.052245E+05
02:33:00,2.697391E+00,6.207038E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.211420E+00,5.234796E+04,1.054648E+05
02:36:00,2.699996E+00,6.213031E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.222854E+00,5.244298E+04,1.057026E+05
02:39:00,2.702561E+00,6.218933E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.234201E+00,5.253666E+04,1.059379E+05
02:42:00,2.705089E+00,6.224750E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.245461E+00,5.262903E+04,1.061709E+05
02:45:00,2.707581E+00,6.230487E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.256637E+00,5.272009E+04,1.064014E+05
02:48:00,2.710041E+00,6.236145E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.267729E+00,5.280987E+04,1.066296E+05
02:51:00,2.712468E+00,6.241730E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.278739E+00,5.289837E+04,1.068555E+05
02:54:00,2.714864E+00,6.247244E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.289667E+00,5.298563E+04,1.070791E+05
02:57:00,2.717231E+00,6.252691E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.300514E+00,5.307165E+04,1.073004E+05
03:00:00,2.719569E+00,6.258072E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.311282E+00,5.315645E+04,1.075195E+05
03:03:00,2.721880E+00,6.263389E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.321962E+00,5.323992E+04,1.077362E+05
03:06:00,2.724162E+00,6.268641E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.332555E+00,5.332208E+04,1.079505E+05
03:09:00,2.726422E+00,6.273842E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.343061E+00,5.340295E+04,1.081623E+05
03:12:00,2.728662E+00,6.278996E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.353482E+00,5.348253E+04,1.083718E+05
03:15:00,2.730885E+00,6.284110E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.363819E+00,5.356084E+04,1.085790E+05
03:18:00,2.733092E+00,6.289190E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.374072E+00,5.363789E+04,1.087837E+05
03:21:00,2.735289E+00,6.294244E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.384241E+00,5.371369E+04,1.089863E+05
03:24:00,2.737473E+00,6.299271E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.394328E+00,5.378826E+04,1.091865E+05
03:27:00,2.739649E+00,6.304278E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.404333E+00,5.386160E+04,1.093845E+05
03:30:00,2.741818E+00,6.309269E+04,2.578414E+00,0.000000E+00,0.000000E+00,2.578414E+00,0.000000E+00,4.414257E+00,5.393373E+04,1.095803E+05
