Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,114085554.49409275,114085554.49409275,0.0,0.0 
 01/21  02:00:00,114078354.49409275,114078354.49409275,0.0,0.0 
 01/21  03:00:00,114092754.49409275,114092754.49409275,0.0,0.0 
 01/21  04:00:00,114078354.49409275,114078354.49409275,0.0,0.0 
 01/21  05:00:00,114085554.49409275,114085554.49409275,0.0,0.0 
 01/21  06:00:00,114092754.49409275,114092754.49409275,0.0,0.0 
 01/21  07:00:00,124345014.49409275,124345014.49409272,0.0,0.0 
 01/21  08:00:00,119653764.49409275,119653764.49409272,0.0,0.0 
 01/21  09:00:00,105529614.49409274,105529614.49409274,0.0,0.0 
 01/21  10:00:00,105529614.49409274,105529614.49409274,0.0,0.0 
 01/21  11:00:00,105529614.49409274,105529614.49409274,0.0,0.0 
 01/21  12:00:00,105529614.49409274,105529614.49409274,0.0,0.0 
 01/21  13:00:00,105536814.49409274,105536814.49409274,0.0,0.0 
 01/21  14:00:00,105536814.49409274,105536814.49409274,0.0,0.0 
 01/21  15:00:00,105529614.49409274,105529614.49409274,0.0,0.0 
 01/21  16:00:00,105529614.49409274,105529614.49409274,0.0,0.0 
 01/21  17:00:00,105529614.49409274,105529614.49409274,0.0,0.0 
 01/21  18:00:00,108043134.49409274,108043134.49409274,0.0,0.0 
 01/21  19:00:00,124510614.49409275,124510614.49409272,0.0,0.0 
 01/21  20:00:00,116630934.49409275,116630934.49409275,0.0,0.0 
 01/21  21:00:00,116638134.49409275,116638134.49409275,0.0,0.0 
 01/21  22:00:00,116623734.49409275,116623734.49409275,0.0,0.0 
 01/21  23:00:00,116638134.49409275,116638134.49409275,0.0,0.0 
 01/21  24:00:00,116638134.49409275,116638134.49409275,0.0,0.0 
 07/21  01:00:00,518515701.7582477,518515701.7582477,152517470.7542746,224813060.55296675 
 07/21  02:00:00,518611701.7582477,518611701.7582477,152517470.7542746,224813060.55296675 
 07/21  03:00:00,518671701.7582477,518671701.7582477,152517470.7542746,224813060.55296675 
 07/21  04:00:00,518779701.7582477,518779701.7582477,152517470.7542746,224813060.55296675 
 07/21  05:00:00,518809701.7582477,518809701.7582477,152517470.7542746,224813060.55296675 
 07/21  06:00:00,516641297.51664856,516641297.51664856,152399851.51267544,224813060.55296675 
 07/21  07:00:00,486100260.6839891,486100260.6839891,129457169.68001552,224813060.55296675 
 07/21  08:00:00,476983399.0868622,476983399.0868622,120340308.08288898,224813060.55296675 
 07/21  09:00:00,468274469.2982909,468274469.2982909,119991185.40467149,224813060.55296675 
 07/21  10:00:00,459868736.45741429,459868736.45741429,119991185.40467149,224813060.55296675 
 07/21  11:00:00,459868736.45741429,459868736.45741429,119991185.40467149,224813060.55296675 
 07/21  12:00:00,459868736.45741429,459868736.45741429,119991185.40467149,224813060.55296675 
 07/21  13:00:00,459868736.45741429,459868736.45741429,119991185.40467149,224813060.55296675 
 07/21  14:00:00,459868736.45741429,459868736.45741429,119991185.40467149,224813060.55296675 
 07/21  15:00:00,459892736.45741429,459892736.45741429,119991185.40467149,224813060.55296675 
 07/21  16:00:00,459868736.45741429,459868736.45741429,119991185.40467149,224813060.55296675 
 07/21  17:00:00,459892736.45741429,459892736.45741429,119991185.40467149,224813060.55296675 
 07/21  18:00:00,459902992.2258166,459902992.2258166,120025441.17307365,224813060.55296675 
 07/21  19:00:00,462145697.58519998,462145697.5852,122268146.53245703,224813060.55296675 
 07/21  20:00:00,489052693.1429319,489052693.1429319,146615183.8883431,224813060.55296675 
 07/21  21:00:00,503431541.807017,503431541.807017,152517470.7542746,224813060.55296675 
 07/21  22:00:00,503431541.807017,503431541.807017,152517470.7542746,224813060.55296675 
 07/21  23:00:00,519811356.0923939,519811356.0923938,152517470.7542746,224813060.55296675 
 07/21  24:00:00,520839081.7582477,520839081.7582477,152517470.7542746,224813060.55296675 
 07/21  01:00:00,91096195.62447974,91096195.62447974,7625873.53771374,44533202.00181081 
 07/21  02:00:00,89760159.75252109,89760159.75252109,7625873.53771374,44533202.00181081 
 07/21  03:00:00,85832016.26468645,85832016.26468645,7625873.53771374,44533202.00181081 
 07/21  04:00:00,82193890.71283102,82193890.71283102,7625873.53771374,44533202.00181081 
 07/21  05:00:00,80139818.9689137,80139818.9689137,7625873.53771374,44533202.00181081 
 07/21  06:00:00,87731973.80306797,87731973.80306795,15074147.257612158,44533202.00181081 
 07/21  07:00:00,100302774.26633884,100302774.26633884,11042226.431112895,55180531.87831209 
 07/21  08:00:00,257113525.5147881,257113525.5147881,31131081.30798453,95796493.41677362 
 07/21  09:00:00,427855352.6000829,427855352.60008278,93124323.85391505,204227663.7591696 
 07/21  10:00:00,382244620.97000339,382244620.97000339,93124323.85391505,174055806.61631225 
 07/21  11:00:00,375281884.70626738,375281884.70626738,93124323.85391505,167093070.3525762 
 07/21  12:00:00,382244620.97000339,382244620.97000339,93124323.85391505,174055806.61631225 
 07/21  13:00:00,385856328.65976598,385856328.65976598,93124323.85391505,177667514.30607493 
 07/21  14:00:00,388046901.18978378,388046901.18978378,93124323.85391505,179858086.83609239 
 07/21  15:00:00,375281884.70626738,375281884.70626738,93124323.85391505,167093070.3525762 
 07/21  16:00:00,375281884.70626738,375281884.70626738,93124323.85391505,167093070.3525762 
 07/21  17:00:00,385725989.1018714,385725989.1018714,93124323.85391505,177537174.74818046 
 07/21  18:00:00,307771160.4069488,307771160.4069488,51782730.33400772,140923939.57316477 
 07/21  19:00:00,223890796.1491735,223890796.14917357,31744256.93385141,69106004.40578471 
 07/21  20:00:00,232026627.05136208,232026627.05136208,37730282.34437338,59822356.054136309 
 07/21  21:00:00,230078850.4008754,230078850.4008754,26303943.895732464,59822356.054136309 
 07/21  22:00:00,120724540.10103974,120724540.10103974,26303943.895732464,55180531.87831209 
