Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,120539101.70991628,120539101.70991628,0.0,0.0 
 01/21  02:00:00,120539101.70991628,120539101.70991628,0.0,0.0 
 01/21  03:00:00,120539101.70991628,120539101.70991628,0.0,0.0 
 01/21  04:00:00,120539101.70991628,120539101.70991628,0.0,0.0 
 01/21  05:00:00,120539101.70991628,120539101.70991628,0.0,0.0 
 01/21  06:00:00,120539101.70991628,120539101.70991628,0.0,0.0 
 01/21  07:00:00,130683361.70991628,130683361.70991628,0.0,0.0 
 01/21  08:00:00,126150511.70991628,126150511.70991628,0.0,0.0 
 01/21  09:00:00,112035961.70991628,112035961.70991628,0.0,0.0 
 01/21  10:00:00,111999961.70991628,111999961.70991628,0.0,0.0 
 01/21  11:00:00,111999961.70991628,111999961.70991628,0.0,0.0 
 01/21  12:00:00,111999961.70991628,111999961.70991628,0.0,0.0 
 01/21  13:00:00,111999961.70991628,111999961.70991628,0.0,0.0 
 01/21  14:00:00,111999961.70991628,111999961.70991628,0.0,0.0 
 01/21  15:00:00,111999961.70991628,111999961.70991628,0.0,0.0 
 01/21  16:00:00,111999961.70991628,111999961.70991628,0.0,0.0 
 01/21  17:00:00,111999961.70991628,111999961.70991628,0.0,0.0 
 01/21  18:00:00,114561481.70991628,114561481.70991628,0.0,0.0 
 01/21  19:00:00,130893361.70991628,130893361.70991628,0.0,0.0 
 01/21  20:00:00,123084481.70991628,123084481.70991628,0.0,0.0 
 01/21  21:00:00,123084481.70991628,123084481.70991628,0.0,0.0 
 01/21  22:00:00,123084481.70991628,123084481.70991628,0.0,0.0 
 01/21  23:00:00,123084481.70991628,123084481.70991628,0.0,0.0 
 01/21  24:00:00,123084481.70991628,123084481.70991628,0.0,0.0 
 07/21  01:00:00,517464530.3943631,517464530.3943631,152517470.7542746,224813060.55296675 
 07/21  02:00:00,523454793.41772106,523454793.41772106,152517470.7542746,224813060.55296675 
 07/21  03:00:00,523718793.41772106,523718793.41772106,152517470.7542746,224813060.55296675 
 07/21  04:00:00,523826793.41772106,523826793.41772106,152517470.7542746,224813060.55296675 
 07/21  05:00:00,523916793.41772106,523916793.41772106,152517470.7542746,224813060.55296675 
 07/21  06:00:00,521832389.176122,521832389.176122,152399851.51267544,224813060.55296675 
 07/21  07:00:00,486560971.5561561,486560971.5561561,129723979.24717574,224813060.55296675 
 07/21  08:00:00,481086918.5409429,481086918.540943,120394417.54972403,224813060.55296675 
 07/21  09:00:00,465695188.00138136,465695188.00138136,119991185.40467149,224813060.55296675 
 07/21  10:00:00,465695188.00138136,465695188.00138136,119991185.40467149,224813060.55296675 
 07/21  11:00:00,465719188.00138136,465719188.00138136,119991185.40467149,224813060.55296675 
 07/21  12:00:00,465695188.00138136,465695188.00138136,119991185.40467149,224813060.55296675 
 07/21  13:00:00,465695188.00138136,465695188.00138136,119991185.40467149,224813060.55296675 
 07/21  14:00:00,465779188.00138136,465779188.00138136,119991185.40467149,224813060.55296675 
 07/21  15:00:00,465797188.00138136,465797188.00138136,119991185.40467149,224813060.55296675 
 07/21  16:00:00,465749188.00138136,465749188.00138136,119991185.40467149,224813060.55296675 
 07/21  17:00:00,465767188.00138136,465767188.00138136,119991185.40467149,224813060.55296675 
 07/21  18:00:00,465771443.76978328,465771443.76978328,120025441.17307365,224813060.55296675 
 07/21  19:00:00,468243300.15754529,468243300.15754529,122515297.56083551,224813060.55296675 
 07/21  20:00:00,495896456.4071946,495896456.4071946,146697555.81048496,224813060.55296675 
 07/21  21:00:00,509257993.35098418,509257993.35098418,152517470.7542746,224813060.55296675 
