Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),COOLSYS1 CHILLER1:Chiller Electric Power [W](Hourly),CHILLED WATER LOOP CHW SUPPLY PUMP2:Pump Electric Energy [J](Hourly) 
 07/01  01:00:00,21.223999675819134,21.405034911041715,21.14782477700579,21.23426248373096,21.40396286050913,100.0,100.0,100.0,100.0,100.0,7296.484807729469,5380743.578620627 
 07/01  02:00:00,21.0823292284536,21.293858278700627,21.0461656645735,21.09650843182913,21.302593766190048,100.0,100.0,100.0,100.0,100.0,7360.007303920601,5380743.578620627 
 07/01  03:00:00,20.965818120649357,21.191265620842179,20.952648780065439,20.97808234834738,21.205492206952955,20.0,100.0,0.0,35.0,100.0,6064.724517123367,5380743.578620627 
 07/01  04:00:00,20.906436934967389,21.101922903780048,20.89968158774418,20.911272753699355,21.120350642878728,0.0,100.0,0.0,0.0,100.0,5260.503010057632,5380743.578620627 
 07/01  05:00:00,20.868774580833848,21.018569894118686,20.863679746125614,20.873278955775314,21.041658070764365,0.0,75.0,0.0,0.0,100.0,4260.139442480587,5380743.578620627 
 07/01  06:00:00,20.836816372610508,20.955262390932679,20.832001852742854,20.842342652310437,20.971510597467515,0.0,0.0,0.0,0.0,5.0,136.07242921796689,269037.17893103128 
 07/01  07:00:00,20.9107793511482,20.994683317944419,20.854205203203123,20.943793230326315,21.006557246519358,5.0,35.0,0.0,20.0,45.0,2773.1661230499555,2421334.610379282 
 07/01  08:00:00,20.22839013515504,20.15680961733062,20.107380249987224,20.289908137038105,20.166035083599338,2.5,5.0,0.0,5.0,5.0,8202.674542047303,5380743.578620627 
 07/01  09:00:00,20.922893253790169,20.753857125424859,20.13115953693236,20.999585727651828,20.791904711556695,45.0,20.0,0.0,55.0,25.0,9677.84711123645,5380743.578620627 
 07/01  10:00:00,21.545717079332716,21.322575881303498,20.406623866408834,21.58211314608095,21.339561580045385,100.0,100.0,0.0,100.0,100.0,14725.38421677276,5380743.578620627 
 07/01  11:00:00,21.965621415899617,21.6801775556424,20.691718946846785,21.926875463285417,21.62393323217984,100.0,100.0,0.0,100.0,100.0,16412.362242457795,5380743.578620627 
 07/01  12:00:00,22.321407819833106,21.983784000534948,20.941592059505063,22.21050279983232,21.849140640488039,100.0,100.0,20.0,100.0,100.0,18161.14804752342,5380743.578620627 
 07/01  13:00:00,22.523976109290488,22.161613615308874,21.108896650174679,22.36623176533834,21.973002867706957,100.0,100.0,100.0,100.0,100.0,19577.142615702527,5380743.578620627 
