Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),COOLSYS1 CHILLER1:Chiller Electric Power [W](Hourly),CHILLED WATER LOOP CHW SUPPLY PUMP2:Pump Electric Energy [J](Hourly) 
 07/01  01:00:00,22.871367580224537,22.96552884639841,22.69557857641382,22.86378724515959,22.965593539967043,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/01  02:00:00,22.868368911438503,22.971382082967027,22.67445861487538,22.86968141542216,22.984027804739115,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/01  03:00:00,22.86384058977909,22.985539837445626,22.677719329657675,22.87036334077279,23.005432046450247,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/01  04:00:00,22.807576694211197,22.962097851194188,22.666130704838513,22.822937675580083,22.993628362102567,100.0,100.0,100.0,100.0,100.0,11921.254752308138,5129124.502233682 
 07/01  05:00:00,22.64682865482161,22.856224321164129,22.599089287147096,22.67876629642165,22.90860671732765,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/01  06:00:00,22.569138962586658,22.801050937284754,22.560902258704766,22.61628063148111,22.864400655882255,100.0,100.0,100.0,100.0,100.0,16231.242397375743,5129124.502233682 
 07/01  07:00:00,21.40804167152281,21.56644095261938,21.544805089306374,21.47841971939385,21.63845907902945,15.0,20.0,15.0,15.0,25.0,10113.287911494677,5129124.502233682 
 07/01  08:00:00,21.256937257437529,21.288512180038546,21.25805717667017,21.32484136867837,21.339151296320954,0.0,0.0,0.0,0.0,0.0,6917.119945922148,5129124.502233682 
 07/01  09:00:00,21.569340282022539,21.506345744402183,21.286998081029325,21.574330252612758,21.48394836813979,0.0,0.0,0.0,0.0,0.0,6951.954821410218,5129124.502233682 
 07/01  10:00:00,21.9691689571026,21.806718671975266,21.400883790741589,21.895647468597553,21.6940574054625,40.0,0.0,0.0,10.0,0.0,7502.200829207324,5129124.502233682 
 07/01  11:00:00,22.22248147964178,22.077594906154958,21.544878662989257,22.121120464395334,21.873497494448594,100.0,75.0,0.0,100.0,0.0,11004.011288353135,5129124.502233682 
 07/01  12:00:00,22.404416824849986,22.27854893076828,21.685992337944506,22.243490470455279,22.0431354585868,0.0,0.0,0.0,0.0,0.0,7044.241218771192,5129124.502233682 
 07/01  13:00:00,22.576231355986854,22.41156349536567,21.77674088213455,22.354972243228159,22.126628566478105,100.0,100.0,0.0,100.0,100.0,19833.861088598114,5129124.502233682 
 07/01  14:00:00,22.592375858008564,22.36653768934009,21.824446824979718,22.357059656958833,22.08100011340384,0.0,0.0,0.0,0.0,0.0,7251.633960570805,5129124.502233682 
 07/01  15:00:00,22.96930768712412,22.437126686836004,21.929475570461457,22.719997171839134,22.134676131881446,0.0,0.0,0.0,0.0,0.0,7095.326853818221,5129124.502233682 
 07/01  16:00:00,23.38491438010974,22.424614877049554,22.024336842934205,23.150522989782439,22.127433861362019,0.0,0.0,0.0,0.0,0.0,7074.625731743739,5129124.502233682 
 07/01  17:00:00,23.490185070862759,22.29045947221086,22.0361579236357,23.32146368461097,22.064061165599939,0.0,0.0,0.0,0.0,0.0,7074.625731743739,5129124.502233682 
 07/01  18:00:00,23.019817985067517,22.08750221305265,21.92494961994955,22.90320910707308,21.9378776887986,0.0,0.0,0.0,0.0,0.0,6789.09286710587,5129124.502233682 
 07/01  19:00:00,22.44635037032705,21.874413948968159,21.786811288025125,22.356701865124245,21.78029114187503,0.0,0.0,0.0,0.0,0.0,5164.269334538736,5129124.502233682 
 07/01  20:00:00,22.02958928569799,21.694530882572214,21.653011244153729,21.957389612179378,21.629575478046577,0.0,0.0,0.0,0.0,0.0,5511.905388378232,5129124.502233682 
 07/01  21:00:00,22.78398573344601,22.603960648767548,22.334718617276839,22.728238297818949,22.54712965731752,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/01  22:00:00,23.088891522043136,23.036430232429404,22.647495754722617,23.04449400579544,22.987741008837589,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/01  23:00:00,23.086857588550975,23.084731151105048,22.723316702148286,23.048408471085915,23.04484478652799,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/01  24:00:00,23.028274351417254,23.074146434446914,22.747818890758077,22.999502814649344,23.047302579702973,100.0,100.0,100.0,100.0,100.0,13553.113685047647,5129124.502233682 
 07/02  01:00:00,22.767769570457774,22.910105972113806,22.67266309330416,22.762372590914806,22.913125630580443,100.0,100.0,100.0,100.0,100.0,12143.97756956717,5129124.502233682 
 07/02  02:00:00,22.457558265285976,22.695710799038083,22.539543321322726,22.473670853159047,22.72863354220225,100.0,100.0,100.0,100.0,100.0,10309.81350724943,5129124.502233682 
 07/02  03:00:00,22.16633498253428,22.480957161533149,22.385815484052633,22.196583296824604,22.537311522648169,100.0,100.0,100.0,100.0,100.0,8742.025121997245,5129124.502233682 
 07/02  04:00:00,21.933669333342473,22.287341849180636,22.232207365342629,21.965413902599356,22.360976903521196,20.0,100.0,100.0,35.0,100.0,7178.0909398284379,5129124.502233682 
 07/02  05:00:00,21.828925452606354,22.127263788276776,22.08860681575557,21.84851678199758,22.212665027271773,0.0,100.0,100.0,0.0,100.0,6997.977291502927,5129124.502233682 
 07/02  06:00:00,21.819978874051338,22.015376112007468,21.980036600539955,21.83907607322284,22.106843122578196,0.0,65.0,35.0,0.0,100.0,5509.145727848661,5129124.502233682 
 07/02  07:00:00,20.963716216803744,21.000790344538119,21.117328829438596,20.97974837765183,21.06856574070909,0.0,0.0,0.0,0.0,3.333333333333333,4442.987473016666,5129124.502233682 
 07/02  08:00:00,21.287856188865477,21.297363663980194,20.948277674429627,21.318210486172057,21.362543077638713,0.0,0.0,0.0,0.0,0.0,4384.465884151623,5129124.502233682 
 07/02  09:00:00,21.606085667569,21.622362622599547,20.99678428346092,21.61841122182991,21.67961060997178,0.0,0.0,0.0,0.0,0.0,4721.5310111269559,5129124.502233682 
 07/02  10:00:00,21.78851620735588,21.76600462035762,21.064347570534616,21.771971487719484,21.79065065937355,0.0,0.0,0.0,0.0,0.0,5155.63603275672,5129124.502233682 
 07/02  11:00:00,21.994676657211128,21.9181638130545,21.142878254781154,21.956138837385397,21.905799672954286,40.0,5.0,0.0,25.0,0.0,5929.812631742481,5129124.502233682 
 07/02  12:00:00,22.334823710651074,22.19227225195657,21.28360662175906,22.263150130259029,22.120914277155586,100.0,100.0,0.0,100.0,90.0,9828.930250035377,5129124.502233682 
 07/02  13:00:00,22.58599400220979,22.407705986726975,21.4617833570558,22.48694617371012,22.295198979700797,100.0,100.0,0.0,100.0,100.0,11017.730317279344,5129124.502233682 
 07/02  14:00:00,22.506276429205358,22.36708997986859,21.537231654252297,22.43090649238909,22.27770555185329,100.0,100.0,0.0,100.0,100.0,10735.427226246678,5129124.502233682 
 07/02  15:00:00,22.42748946570678,22.29923015179443,21.53548606750048,22.366399051426297,22.2281437637732,100.0,100.0,0.0,100.0,100.0,10540.455830348086,5129124.502233682 
 07/02  16:00:00,22.253723888049057,22.182706910148626,21.516605872459615,22.218960956808894,22.147762334123354,100.0,100.0,0.0,100.0,100.0,9970.366626875126,5129124.502233682 
 07/02  17:00:00,21.848513670760054,21.803839590426049,21.39506393428055,21.833332893230616,21.792548745017,15.0,15.0,0.0,15.0,10.0,6673.037520918508,5129124.502233682 
 07/02  18:00:00,21.669278909068173,21.642606718117969,21.3095899775821,21.672522510207189,21.657406446860997,0.0,0.0,0.0,0.0,0.0,5908.396757214554,5129124.502233682 
 07/02  19:00:00,21.526750907334994,21.56463687195011,21.226790349506286,21.548482489459354,21.598629476268714,0.0,0.0,0.0,0.0,0.0,5512.382793961656,5129124.502233682 
 07/02  20:00:00,21.29245260809464,21.38885307677102,21.08957740924013,21.320062529664477,21.429028887947486,0.0,0.0,0.0,0.0,0.0,5188.589667389674,5129124.502233682 
 07/02  21:00:00,21.551373213740793,21.806299025053379,21.6850903504757,21.59086718863257,21.866004617778029,0.0,0.0,0.0,0.0,25.0,931.7993817998671,1282281.1255584206 
 07/02  22:00:00,21.66234037026211,22.00735192817694,21.927802226944356,21.709995707157569,22.06150203048238,0.0,75.0,0.0,0.0,100.0,6089.410651674764,5129124.502233682 
 07/02  23:00:00,21.66876230835337,21.979920823691793,21.956143611846494,21.717343992802399,22.017277663894967,0.0,25.0,0.0,0.0,80.0,3629.2396903560086,4103299.601786947 
 07/02  24:00:00,21.639981787192743,21.94354094921003,21.953619595221889,21.68975199734777,21.954227123201677,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/03  01:00:00,21.622171628256689,21.937088669676933,21.94346289128763,21.67262034217371,21.939395680580487,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/03  02:00:00,21.619988992778727,21.944180498787156,21.935989736655338,21.671647475396968,21.94581079972621,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/03  03:00:00,21.600616915934208,21.942349615468449,21.929046474054688,21.652943233403297,21.94494229917107,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/03  04:00:00,21.622573282282287,21.966421287149094,21.930788060057944,21.676206392604123,21.971058687520036,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/03  05:00:00,21.62710034412531,21.98148193234399,21.939707013590298,21.681198955973828,21.987527442022903,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/03  06:00:00,21.664046510088207,22.00730737026615,21.968019111588139,21.723824290882953,22.012103416620538,0.0,55.0,0.0,0.0,70.0,4254.27600555344,3590387.1515635785 
 07/03  07:00:00,20.95741365734023,21.13061544422869,21.23918165260169,21.016093110748576,21.13306026866514,0.0,1.6666666666666666,0.0,0.0,1.6666666666666666,4983.9424818643869,5129124.502233682 
 07/03  08:00:00,21.440977352230317,21.523250575346567,21.162223410549964,21.47426377218295,21.517390231182426,0.0,0.0,0.0,0.0,0.0,5008.998786104274,5129124.502233682 
 07/03  09:00:00,21.94518001067606,21.977958562338015,21.283901889520789,21.945618298511357,21.93338246338873,30.0,35.0,0.0,30.0,15.0,6469.7765637874449,5129124.502233682 
 07/03  10:00:00,22.318983953256379,22.272141926337125,21.455740263616158,22.24662091109844,22.154609296516577,100.0,100.0,0.0,100.0,100.0,11164.241080897697,5129124.502233682 
 07/03  11:00:00,22.63804946493503,22.53519574265275,21.650854925806749,22.49435627097474,22.348143810450279,100.0,100.0,0.0,100.0,100.0,12589.105778725485,5129124.502233682 
 07/03  12:00:00,22.869568007509686,22.72540261625512,21.79873437690138,22.648635905489564,22.45745695871998,100.0,100.0,0.0,100.0,100.0,14334.99497122657,5129124.502233682 
 07/03  13:00:00,23.0108700523415,22.828872545760985,21.90779256720247,22.74762903980718,22.51444530943406,100.0,100.0,0.0,100.0,100.0,15791.9918658393,5129124.502233682 
 07/03  14:00:00,23.1270430396752,22.88142354039569,22.01043620631897,22.85976809575068,22.56394278729227,100.0,100.0,50.0,100.0,100.0,16915.73639550308,5129124.502233682 
 07/03  15:00:00,23.47201612567883,22.947602265601384,22.12258633460342,23.217860171186176,22.631329210117167,100.0,100.0,100.0,100.0,100.0,18894.066656826322,5129124.502233682 
 07/03  16:00:00,23.582534173899384,22.88934481074882,22.157264099594415,23.393807892106218,22.628153670303325,100.0,100.0,100.0,100.0,100.0,19244.701789901108,5129124.502233682 
 07/03  17:00:00,23.0546916720624,22.407458115813748,21.97808105536769,22.964017022599486,22.253118470856785,100.0,100.0,45.0,100.0,100.0,15850.373287633007,5129124.502233682 
 07/03  18:00:00,22.61679827499982,22.0560682785442,21.767004341453167,22.598944407656263,21.99050443556021,100.0,75.0,0.0,100.0,50.0,11575.79822113442,5129124.502233682 
 07/03  19:00:00,22.133211735847636,21.81307903475299,21.57347411629302,22.16895859735877,21.82835848530366,80.0,0.0,0.0,95.0,0.0,7646.682655769029,5129124.502233682 
 07/03  20:00:00,21.664381473902158,21.55525653632562,21.33822914120813,21.71971673175835,21.599547380183773,0.0,0.0,0.0,0.0,0.0,7141.849920109073,5129124.502233682 
 07/03  21:00:00,22.107111234502506,22.21434736398283,22.061824243446134,22.175298244267237,22.298432065894205,75.0,75.0,65.0,80.0,80.0,6835.827158164955,4103299.601786947 
 07/03  22:00:00,22.160224722626205,22.415133371594178,22.30163562429628,22.225674543020824,22.51599329078845,100.0,100.0,100.0,100.0,100.0,8892.886845148298,5129124.502233682 
 07/03  23:00:00,22.024200954387188,22.31356350010893,22.243912195785396,22.083598981358074,22.422958334045636,75.0,100.0,100.0,100.0,100.0,7905.165598058658,5129124.502233682 
 07/03  24:00:00,21.907865666290087,22.189090426500998,22.148695885973774,21.944591708204194,22.303642608246617,0.0,100.0,100.0,20.0,100.0,6981.168183458169,5129124.502233682 
 07/04  01:00:00,21.814752346038003,22.043759923362385,22.031273903053319,21.834388684783929,22.16156128965517,0.0,95.0,80.0,0.0,100.0,6779.391231764205,5129124.502233682 
 07/04  02:00:00,21.779132378458234,21.950314425081488,21.93879806194801,21.79573351667073,22.055300585115483,0.0,0.0,0.0,0.0,100.0,3111.8030690404955,5129124.502233682 
 07/04  03:00:00,21.75086306778354,21.91584451663882,21.88847193190079,21.766350990738255,21.970646342879573,0.0,0.0,0.0,0.0,5.0,154.43185916275895,256456.2251116841 
 07/04  04:00:00,21.773957937804736,21.932532078942587,21.867866042360128,21.78774419672676,21.96635905482522,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/04  05:00:00,21.772819384307995,21.9407527450779,21.860786745341799,21.786308626338135,21.970062750826736,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/04  06:00:00,21.830981146058624,21.97768417710956,21.8786391329486,21.850468582915928,22.005179112907358,0.0,15.0,0.0,0.0,45.0,1967.231253938938,2308106.026005157 
 07/04  07:00:00,20.982212455239205,20.988848125539265,21.026575653550365,21.00846981795598,21.004022331227114,0.0,5.0,0.0,0.0,5.0,6976.802694044457,5129124.502233682 
 07/04  08:00:00,20.931888339923355,20.79336884761593,20.82986531333234,20.940638229567843,20.779899606821755,0.0,0.0,0.0,0.0,0.0,6951.954821410218,5129124.502233682 
 07/04  09:00:00,21.232181935437145,20.986760636963518,20.861320905326076,21.192635313260455,20.913842838096753,0.0,0.0,0.0,0.0,0.0,7023.033506401252,5129124.502233682 
 07/04  10:00:00,21.625185936511657,21.27573318313395,20.972403478243426,21.514128074064609,21.12060705299504,0.0,0.0,0.0,0.0,0.0,7149.006053787953,5129124.502233682 
 07/04  11:00:00,22.113189133157513,21.664789044200153,21.17230481485609,21.927305336846037,21.422382191066839,70.0,0.0,0.0,30.0,0.0,8222.763829556501,5129124.502233682 
 07/04  12:00:00,22.405310661303355,21.972511526100165,21.352916856034704,22.17424614177181,21.63143459397349,100.0,30.0,0.0,100.0,0.0,10308.068077402262,5129124.502233682 
 07/04  13:00:00,22.636090353059797,22.20708779369316,21.47631599126894,22.377790738379713,21.8176351547836,100.0,100.0,0.0,100.0,0.0,13020.09297909848,5129124.502233682 
 07/04  14:00:00,22.656526555687998,22.2232573868702,21.55720614868922,22.453168640840738,21.933018146479417,100.0,100.0,0.0,100.0,0.0,12994.525616116774,5129124.502233682 
 07/04  15:00:00,22.46032347079857,22.062938128667743,21.54364625203537,22.344603329119687,21.933034451640123,100.0,100.0,0.0,100.0,0.0,12233.448883620917,5129124.502233682 
 07/04  16:00:00,22.525133030236959,22.002151140055653,21.55417507637668,22.444706858764829,21.965276145471799,100.0,55.0,0.0,100.0,0.0,10797.830191104837,5129124.502233682 
 07/04  17:00:00,22.537450398883668,21.938655130447839,21.59391193383785,22.511118953577406,21.991690629043583,100.0,0.0,0.0,100.0,50.0,10555.793381602904,5129124.502233682 
 07/04  18:00:00,22.373953769932336,21.8040450873497,21.57409786337974,22.39418739578364,21.902475228793827,100.0,0.0,0.0,100.0,0.0,8607.185866196938,5129124.502233682 
 07/04  19:00:00,21.976511387708059,21.6062126709084,21.483363178021855,22.04144371890238,21.769750021716424,50.0,0.0,0.0,65.0,0.0,7656.685168597911,5129124.502233682 
 07/04  20:00:00,21.531075323280935,21.395972119716175,21.33814354349314,21.616584900946945,21.607326865746694,0.0,0.0,0.0,0.0,0.0,7219.998795753253,5129124.502233682 
