Date/Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1:Zone Mean Air Temperature [C](Hourly),CORNER_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_1_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORRIDOR_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),CORNER_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),MULT_CLASS_2_POD_1_ZN_1_FLR_1_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),HP_RADSYS:Heat Pump Electric Power [W](Hourly),HOT WATER LOOP HW SUPPLY PUMP2:Pump Electric Energy [J](Hourly) 
 01/01  01:00:00,21.89981131372414,21.984595230145314,22.400923035610277,21.901999870477434,22.00204370710545,100.0,85.0,0.0,100.0,50.0,2618.528857531944,2762652.719044462 
 01/01  02:00:00,21.905514793602288,21.997034044796615,22.37856910503469,21.882000012271708,21.96262707724261,100.0,40.0,0.0,100.0,100.0,2714.8571950574767,2762652.719044462 
 01/01  03:00:00,21.924081737574743,21.997765026356224,22.360197726591609,21.889842601080738,22.000761267903834,90.0,60.0,0.0,100.0,55.0,2451.376638028934,2762652.719044462 
 01/01  04:00:00,22.078469991486228,22.098977673337964,22.34843922598211,22.05843988145226,22.095809132466589,0.0,0.0,0.0,10.0,0.0,27.399696865706177,276265.2719044462 
 01/01  05:00:00,22.052801518368093,22.086962508059498,22.319666460503659,22.04404647861481,22.082598967207397,5.0,0.0,0.0,10.0,0.0,72.28828808170097,276265.2719044462 
 01/01  06:00:00,21.96010760590132,22.00332670163816,22.26890304927403,21.96204626116198,22.000478396578836,100.0,45.0,0.0,100.0,50.0,2200.5496389133757,2762652.719044462 
 01/01  07:00:00,22.022198321034666,22.020087912931765,22.216224562253215,22.023917793213007,22.01758948951451,30.0,35.0,0.0,35.0,35.0,1322.384251489267,966928.4516655617 
 01/01  08:00:00,21.507518599802745,21.4851965078794,21.653719791019243,21.507382495095773,21.47127137033587,95.0,95.0,90.0,95.0,95.0,5399.274905668748,2624520.0830922389 
 01/01  09:00:00,21.525480397852239,21.492279762137455,21.560432157982459,21.401965709320476,21.345988349188397,100.0,100.0,100.0,100.0,100.0,5784.125410616056,2762652.719044462 
 01/01  10:00:00,22.212828261305164,22.183420672290948,21.71641858934116,21.59129038165348,21.50857322820721,30.0,35.0,100.0,100.0,100.0,3491.6906357130794,2762652.719044462 
 01/01  11:00:00,22.935662143709334,22.99098615152461,22.00638720585769,21.747253506562836,21.691028846769535,40.0,45.0,55.0,100.0,100.0,2153.025562898375,2762652.719044462 
 01/01  12:00:00,23.241654350367904,23.45614063905466,22.27483830661152,21.930259801866414,21.894436675316269,100.0,100.0,0.0,80.0,95.0,1487.0395167517948,2624520.0830922389 
 01/01  13:00:00,23.536247054549034,23.922617403503474,22.488211169937,22.224293686721077,22.170575510099377,100.0,100.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,23.640849988219509,24.178997789472779,22.65311629045677,22.35394140473749,22.3230001407757,100.0,100.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,23.78368081790413,24.01637128196416,22.762891437045533,22.655300305133176,22.3032647878512,100.0,100.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,23.601165599943508,23.47895196656166,22.788083634125475,22.888113117024557,22.180725542283974,100.0,100.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,22.341072088925267,22.4592306859763,22.569365738779156,22.4403490892493,21.884328140360187,50.0,15.0,0.0,0.0,80.0,1478.8607934858163,2210122.1752355697 
 01/01  18:00:00,21.117133601510319,21.630214652656087,22.11220331448119,21.82291872743207,21.697480273539445,100.0,100.0,15.0,95.0,100.0,5490.420966576715,2762652.719044462 
 01/01  19:00:00,20.93574660372042,21.438779491354436,21.850822675320808,21.695959629224939,21.680003455650515,100.0,100.0,100.0,100.0,100.0,6004.145100398491,2762652.719044462 
 01/01  20:00:00,20.947254771029895,21.386801024270196,21.774815560372806,21.589735937870875,21.642463203160547,100.0,100.0,100.0,100.0,100.0,5888.614667208069,2762652.719044462 
 01/01  21:00:00,21.054387302758859,21.413844051633999,21.770375449107669,21.546031058223116,21.632071215667268,100.0,100.0,100.0,100.0,100.0,5646.121689618325,2762652.719044462 
 01/01  22:00:00,21.610428479328669,21.986367289672836,22.32702076778989,21.991609544341438,22.16661861802409,100.0,40.0,15.0,35.0,20.0,1838.8912593187422,2762652.719044462 
 01/01  23:00:00,21.811538063896977,22.09039390606894,22.48867298127082,21.988807074224494,22.24520761063775,100.0,0.0,0.0,50.0,0.0,576.5550988512499,2762652.719044462 
 01/01  24:00:00,21.848502980567056,21.982305365863394,22.458933666272153,21.895768504708618,22.117489009217694,100.0,80.0,0.0,100.0,0.0,2070.353978577557,2762652.719044462 
 01/02  01:00:00,21.824362992837874,21.950905079710045,22.388534227434236,21.828726113970345,21.957235015762188,100.0,100.0,0.0,100.0,65.0,3404.7831859203827,2762652.719044462 
 01/02  02:00:00,21.761818440784379,21.93524910046639,22.296640954744814,21.741898701143108,21.862105987162545,100.0,100.0,0.0,100.0,100.0,3928.0790523666184,2762652.719044462 
 01/02  03:00:00,21.81284858034192,21.985874938727144,22.222195489700846,21.777471783138844,21.902497701765406,100.0,75.0,0.0,100.0,100.0,3348.9519097738145,2762652.719044462 
 01/02  04:00:00,21.785240997153239,21.962005667950597,22.149282162389704,21.742358552959837,21.897850742415959,100.0,100.0,0.0,100.0,100.0,3719.451988083253,2762652.719044462 
 01/02  05:00:00,21.86431334527497,22.025877606914827,22.090886367360043,21.816141486377526,21.964976490727009,100.0,25.0,0.0,100.0,85.0,2271.8986091675394,2762652.719044462 
 01/02  06:00:00,21.895539033235175,21.971944932162264,22.032866257800707,21.845280115211858,21.974204865938185,100.0,55.0,5.0,100.0,55.0,2286.602606213067,2762652.719044462 
 01/02  07:00:00,21.764698679126867,21.85861805584389,21.979472402230955,21.715772467495616,21.86564636684424,100.0,100.0,100.0,100.0,100.0,4347.745722506572,2762652.719044462 
 01/02  08:00:00,21.818058378415317,21.749213516113664,21.599851217312727,21.743298291240675,21.734182056324724,100.0,100.0,100.0,100.0,100.0,4588.0007680506309,2762652.719044462 
 01/02  09:00:00,23.682441047878308,23.68087380644061,21.87774792025108,23.504504976866664,23.56880077891516,91.66666666666666,91.66666666666666,70.0,85.0,85.0,520.8340956485638,1933856.9033311234 
 01/02  10:00:00,23.99974800372045,24.354496673497537,22.372360942959327,23.999727777786874,23.999740168628393,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/02  11:00:00,24.03154913132007,25.12235251817873,22.757510502903484,23.99943293067933,23.999520729703425,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/02  12:00:00,24.333789154630428,25.68775096490803,23.06481998753657,23.99943318199049,24.001979525187588,100.0,100.0,75.0,100.0,100.0,0.0,0.0 
 01/02  13:00:00,24.443257232502103,25.907015876187434,23.204865761492326,23.999420564634894,23.999475102698438,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 01/02  14:00:00,24.365247620518426,25.879764310323045,23.215328292195666,23.998274870995397,23.999454149312507,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 01/02  15:00:00,24.395319575984254,25.683397929249414,23.20116153276016,23.999327074320225,23.99943575460047,100.0,100.0,100.0,100.0,100.0,0.0,0.0 
 01/02  16:00:00,24.06746877155891,25.133438728171606,23.04996038123374,23.981495785041078,23.999541644786047,100.0,100.0,70.0,100.0,100.0,0.0,0.0 
 01/02  17:00:00,23.44264506527278,24.03921373533787,22.664753667055515,22.548904304423524,23.04896752421657,95.0,100.0,0.0,35.0,50.0,0.0,276265.2719044462 
 01/02  18:00:00,21.952284501573997,22.910338945937015,22.00937959963081,21.130479306525623,21.78267280805006,55.0,40.0,45.0,100.0,70.0,3163.6886272004587,2762652.719044462 
 01/02  19:00:00,21.364308017315826,22.219341837056779,21.596374877705686,20.814172856271104,21.35592215219357,100.0,0.0,100.0,100.0,100.0,5164.312909422456,2762652.719044462 
 01/02  20:00:00,21.340479278983247,21.94916522970181,21.49090142451634,20.994388658817824,21.379087721478205,100.0,70.0,100.0,100.0,100.0,6426.841808532338,2762652.719044462 
 01/02  21:00:00,21.504716107128627,21.869166246826628,21.51083119535005,21.263607662320799,21.51585835752596,100.0,100.0,100.0,100.0,100.0,6546.173774405934,2762652.719044462 
 01/02  22:00:00,21.487060923849616,21.854340797484288,21.994599230829058,21.287659470484664,21.566925337149966,100.0,100.0,40.0,100.0,100.0,5673.187048675611,2762652.719044462 
 01/02  23:00:00,21.55685829334891,21.863635003246146,22.107040134223728,21.392793495461388,21.6231047403548,100.0,100.0,0.0,100.0,100.0,5115.13807286932,2762652.719044462 
 01/02  24:00:00,21.828202837346575,22.023729511935107,22.099351833153578,21.69152008574003,21.822580911361123,100.0,35.0,0.0,100.0,100.0,3267.1087763723205,2762652.719044462 
 01/03  01:00:00,22.043309737514876,22.07119696673417,22.090730348534988,21.939868561314549,22.004278784540067,35.0,0.0,0.0,80.0,50.0,1205.5245308714087,2210122.1752355697 
 01/03  02:00:00,22.03114077488523,22.01854398811577,22.078754697768085,22.007924059563739,22.048661465066716,30.0,30.0,0.0,35.0,10.0,810.7922043953295,966928.4516655617 
 01/03  03:00:00,21.925614202231594,21.961295289235463,22.053611333984699,21.91207733061514,21.975274425929976,100.0,100.0,0.0,100.0,95.0,4084.172084093227,2762652.719044462 
 01/03  04:00:00,22.008956876355254,22.029769557540825,22.032939219940798,21.997760211000594,22.026044195179769,35.0,0.0,0.0,55.0,0.0,348.5247272340636,1519458.995474454 
 01/03  05:00:00,21.993227724716357,21.997864224099936,22.00986226349385,21.99953716691916,21.99647874148669,70.0,55.0,10.0,50.0,65.0,2382.0422276450519,2071989.5392833465 
 01/03  06:00:00,22.044938895299784,22.04074363242767,22.012339980100518,22.04339955700096,22.037036114347566,0.0,10.0,35.0,15.0,0.0,457.4729317014775,966928.4516655617 
 01/03  07:00:00,22.01149300448335,22.044577683963426,22.027186015969478,22.027274740932808,22.034006931371228,35.0,0.0,0.0,20.0,0.0,178.65146711848969,966928.4516655617 
 01/03  08:00:00,22.079011345812675,21.994127186400385,21.77971953154531,22.071253977630545,21.989887588671118,25.0,66.66666666666666,98.33333333333333,20.0,68.33333333333333,2928.9291954799016,2762652.719044462 
 01/03  09:00:00,23.76785825538809,23.763212566277777,22.01647242516581,23.761535513257099,23.762639328425917,90.0,85.0,45.0,90.0,85.0,211.02177339075807,1243193.7235700079 
 01/03  10:00:00,23.99975691801757,23.99976563192927,22.292230604500884,23.999746720918919,23.999760902244597,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/03  11:00:00,23.999534248687369,23.999591779606339,22.417172829036895,23.9995224723694,23.999587803381297,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/03  12:00:00,23.99931834818017,23.99954623732054,22.470272451801713,23.999489904129459,23.999543271380249,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/03  13:00:00,23.952012527576053,23.999509917474208,22.497288896378785,23.999464758725414,23.999510332031109,100.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/03  14:00:00,23.823168439669709,23.99947714192956,22.508644367465313,23.96514171860243,23.999476304952908,80.0,100.0,0.0,100.0,100.0,0.0,0.0 
 01/03  15:00:00,23.742398080586008,23.999476642547994,22.48795594228276,23.86302162697027,23.999472121031606,0.0,100.0,0.0,5.0,100.0,0.0,0.0 
 01/03  16:00:00,23.787737972954284,23.999546699554583,22.469108640298285,23.863874174089255,23.999527295804403,0.0,80.0,0.0,0.0,100.0,0.0,0.0 
 01/03  17:00:00,22.708642789207408,23.027356548873855,22.414267439382845,22.746605656679205,23.108105451028615,0.0,30.0,0.0,0.0,55.0,0.0,0.0 
 01/03  18:00:00,21.603488344276355,21.952372843750035,22.056868599072478,21.635129294808615,22.022361646759426,85.0,60.0,35.0,80.0,55.0,4479.720409216231,2348254.8111877928 
 01/03  19:00:00,21.322240890963156,21.607660973446295,21.82226838870062,21.338903671466139,21.65105500965447,100.0,100.0,100.0,100.0,100.0,7529.248975242817,2762652.719044462 
 01/03  20:00:00,21.490801927512125,21.640654014439617,21.790297801097876,21.475020631318459,21.66141168629696,100.0,100.0,100.0,100.0,100.0,6949.78210140694,2762652.719044462 
