Time,CORNER_CLASS_1_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORNER_CLASS_1_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORNER_CLASS_1_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORNER_CLASS_1_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],MULT_CLASS_1_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],MULT_CLASS_1_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],MULT_CLASS_1_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],MULT_CLASS_1_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORRIDOR_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORRIDOR_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORRIDOR_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORRIDOR_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORNER_CLASS_2_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORNER_CLASS_2_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORNER_CLASS_2_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORNER_CLASS_2_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],MULT_CLASS_2_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],MULT_CLASS_2_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],MULT_CLASS_2_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],MULT_CLASS_2_POD_1_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],MAIN_CORRIDOR_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],MAIN_CORRIDOR_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],MAIN_CORRIDOR_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],MAIN_CORRIDOR_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LOBBY_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LOBBY_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LOBBY_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LOBBY_ZN_1_FLR_1:NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:03:00,3.101962E+03,1.689087E+03,1.600974E-01,1.477655E-01,8.754733E+03,6.509111E+03,4.518559E-01,5.694267E-01,2.144990E+03,1.829985E+03,1.107115E-01,1.600875E-01,3.110820E+03,1.620863E+03,1.605546E-01,1.417971E-01,8.737897E+03,6.180128E+03,4.509869E-01,5.406469E-01,1.284560E+04,1.578500E+04,6.630122E-01,1.380876E+00,5.600733E+03,4.601821E+03,2.890690E-01,4.025742E-01
00:06:00,3.101961E+03,1.684048E+03,1.600974E-01,1.473247E-01,8.754701E+03,6.496380E+03,4.518542E-01,5.683130E-01,2.144974E+03,1.826388E+03,1.107106E-01,1.597728E-01,3.110819E+03,1.616148E+03,1.605546E-01,1.413846E-01,8.737850E+03,6.169043E+03,4.509845E-01,5.396771E-01,1.283838E+04,1.576619E+04,6.626394E-01,1.379231E+00,5.599244E+03,4.595002E+03,2.889921E-01,4.019777E-01
00:09:00,3.101961E+03,1.679059E+03,1.600974E-01,1.468882E-01,8.754669E+03,6.483763E+03,4.518526E-01,5.672092E-01,2.144957E+03,1.822815E+03,1.107097E-01,1.594602E-01,3.110818E+03,1.611482E+03,1.605545E-01,1.409764E-01,8.737802E+03,6.158063E+03,4.509820E-01,5.387165E-01,1.283116E+04,1.574744E+04,6.622668E-01,1.377590E+00,5.597754E+03,4.588224E+03,2.889152E-01,4.013847E-01
00:12:00,3.101960E+03,1.674121E+03,1.600973E-01,1.464562E-01,8.754637E+03,6.471257E+03,4.518509E-01,5.661152E-01,2.144941E+03,1.819264E+03,1.107089E-01,1.591497E-01,3.110817E+03,1.606865E+03,1.605545E-01,1.405725E-01,8.737754E+03,6.147187E+03,4.509796E-01,5.377651E-01,1.282394E+04,1.572875E+04,6.618942E-01,1.375955E+00,5.596265E+03,4.581487E+03,2.888384E-01,4.007953E-01
00:15:00,3.101959E+03,1.669233E+03,1.600973E-01,1.460286E-01,8.754606E+03,6.458864E+03,4.518493E-01,5.650310E-01,2.144924E+03,1.815738E+03,1.107080E-01,1.588411E-01,3.110816E+03,1.602296E+03,1.605544E-01,1.401728E-01,8.737707E+03,6.136418E+03,4.509771E-01,5.368229E-01,1.281673E+04,1.571011E+04,6.615218E-01,1.374324E+00,5.594777E+03,4.574791E+03,2.887616E-01,4.002096E-01
00:18:00,3.101959E+03,1.664394E+03,1.600973E-01,1.456053E-01,8.754574E+03,6.446584E+03,4.518477E-01,5.639567E-01,2.144907E+03,1.812234E+03,1.107072E-01,1.585346E-01,3.110815E+03,1.597776E+03,1.605543E-01,1.397774E-01,8.737659E+03,6.125753E+03,4.509746E-01,5.358900E-01,1.280951E+04,1.569152E+04,6.611495E-01,1.372698E+00,5.593289E+03,4.568137E+03,2.886848E-01,3.996275E-01
00:21:00,3.101959E+03,1.659585E+03,1.600973E-01,1.451846E-01,8.754574E+03,6.434412E+03,4.518477E-01,5.628919E-01,2.144908E+03,1.808775E+03,1.107072E-01,1.582321E-01,3.110815E+03,1.593284E+03,1.605543E-01,1.393844E-01,8.737659E+03,6.115207E+03,4.509747E-01,5.349674E-01,1.280961E+04,1.568235E+04,6.611546E-01,1.371896E+00,5.593310E+03,4.563657E+03,2.886858E-01,3.992355E-01
00:24:00,3.101959E+03,1.654803E+03,1.600973E-01,1.447662E-01,8.754575E+03,6.422293E+03,4.518477E-01,5.618317E-01,2.144908E+03,1.805336E+03,1.107072E-01,1.579312E-01,3.110815E+03,1.588818E+03,1.605543E-01,1.389937E-01,8.737660E+03,6.104708E+03,4.509747E-01,5.340489E-01,1.280971E+04,1.567321E+04,6.611597E-01,1.371097E+00,5.593330E+03,4.559195E+03,2.886869E-01,3.988452E-01
00:27:00,3.101959E+03,1.650047E+03,1.600973E-01,1.443502E-01,8.754575E+03,6.410229E+03,4.518477E-01,5.607763E-01,2.144908E+03,1.801917E+03,1.107072E-01,1.576321E-01,3.110815E+03,1.584378E+03,1.605543E-01,1.386052E-01,8.737661E+03,6.094258E+03,4.509747E-01,5.331347E-01,1.280981E+04,1.566412E+04,6.611647E-01,1.370301E+00,5.593351E+03,4.554751E+03,2.886879E-01,3.984564E-01
00:30:00,3.101959E+03,1.645318E+03,1.600973E-01,1.439365E-01,8.754576E+03,6.398221E+03,4.518477E-01,5.597258E-01,2.144908E+03,1.798518E+03,1.107072E-01,1.573348E-01,3.110815E+03,1.579963E+03,1.605543E-01,1.382190E-01,8.737661E+03,6.083857E+03,4.509748E-01,5.322248E-01,1.280991E+04,1.565506E+04,6.611698E-01,1.369509E+00,5.593371E+03,4.550326E+03,2.886890E-01,3.980693E-01
00:33:00,3.101959E+03,1.640615E+03,1.600973E-01,1.435250E-01,8.754576E+03,6.386266E+03,4.518478E-01,5.586800E-01,2.144909E+03,1.795138E+03,1.107072E-01,1.570391E-01,3.110815E+03,1.575573E+03,1.605543E-01,1.378350E-01,8.737662E+03,6.073503E+03,4.509748E-01,5.313191E-01,1.281001E+04,1.564605E+04,6.611749E-01,1.368720E+00,5.593392E+03,4.545918E+03,2.886901E-01,3.976838E-01
