Date/Time,CORE_TOP:Zone Total Internal Total Heating Rate [W](Hourly),CORE_TOP:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_4:Zone Mean Air Temperature [C](Hourly),CORE_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI2_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI3_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),PERI4_TOP_LOTEMP:Zone Radiant HVAC Pump Electric Power [W](Hourly),COOLSYS1 CHILLER1:Chiller Electric Power [W](Hourly),CHILLED WATER LOOP CHW SUPPLY PUMP2:Pump Electric Power [W](Hourly) 
 01/01  01:00:00,2170.31579314564,19.888607026480913,18.93325884862525,18.9395189162909,18.973089455947723,18.94193639020602,0.0,57.42618750000001,54.032,70.79434999999998,68.0,0.0,0.0 
 01/01  02:00:00,2170.31579314564,19.804367564792608,18.907574368883439,18.918452509579966,18.977125299871639,18.949075812110324,0.0,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/01  03:00:00,2170.31579314564,19.726347974810943,18.91333895353915,18.95652307296833,18.986203045168769,18.966962931892025,0.0,76.56825000000002,67.53999999999999,70.79434999999998,72.0,0.0,0.0 
 01/01  04:00:00,2170.31579314564,19.658312425800007,18.91310156330513,18.976046890238899,18.970796722020848,18.912156023412999,0.0,76.56825000000002,60.78599999999999,70.79434999999998,80.0,0.0,0.0 
 01/01  05:00:00,2170.31579314564,19.594771591999835,18.92386804912061,18.890061712681488,18.962419236753598,18.961273158179418,0.0,76.56825000000002,67.53999999999999,70.79434999999998,68.0,0.0,0.0 
 01/01  06:00:00,2170.31579314564,19.537085227468958,18.952003394921517,18.94303398308062,18.96626823110333,18.853087291089389,0.0,76.56825000000002,64.16299999999998,70.79434999999998,80.0,0.0,0.0 
 01/01  07:00:00,2879.2057968242645,18.68931904775594,18.452633667850678,18.320290910826807,18.453195994102836,18.515268125939796,216.34591000000007,76.56825000000002,64.16299999999998,70.79434999999998,72.0,0.0,0.0 
 01/01  08:00:00,2879.2057968242645,18.667093533267978,18.76700681332912,18.969429258384609,18.785020797475047,18.711041385800539,254.52460000000003,61.25460000000002,33.769999999999999,63.71491499999998,64.0,0.0,0.0 
 01/01  09:00:00,2879.2057968242645,18.84699615977977,18.825285688391128,19.880676012886207,19.316239277680848,18.78952270745079,254.52460000000003,11.4852375,0.0,60.17519749999999,68.0,0.0,0.0 
 01/01  10:00:00,2879.2057968242645,19.00157714594435,18.946405107599614,20.555865323416528,20.426832068151634,18.927949313076004,114.53607,3.8284125,0.0,53.0957625,64.0,146.65020650828255,131.290156 
 01/01  11:00:00,2879.2057968242645,19.070232220646959,19.025932187096918,20.306887066182058,21.664594564935528,19.028380271101417,0.0,76.56825000000002,0.0,14.158869999999999,24.0,3651.540228449792,2625.803119999999 
 01/01  12:00:00,2879.2057968242645,19.37037833589955,19.263751057268658,20.073668152871016,22.67289568886087,19.297882628739388,0.0,76.56825000000002,0.0,0.0,0.0,4555.793945467927,2625.803119999999 
 01/01  13:00:00,2879.2057968242645,19.727796335250895,19.628945018327206,20.418673342674287,23.60043804310664,19.716387553020714,0.0,76.56825000000002,0.0,0.0,0.0,6026.192622786935,2625.803119999999 
 01/01  14:00:00,2879.2057968242645,19.872577530413066,19.846697313494198,20.540653388736105,23.93345722594649,19.853931412756958,0.0,76.56825000000002,0.0,0.0,0.0,7036.976302975903,2625.803119999999 
 01/01  15:00:00,2879.2057968242645,19.959743292460268,19.97865819940298,20.597761980382765,23.750063755868927,20.47726589060318,0.0,76.56825000000002,0.0,0.0,0.0,6444.339714489358,2625.803119999999 
 01/01  16:00:00,2879.2057968242645,20.005418725057959,20.025242144596889,20.55623794821559,23.057928398086838,21.36873942429954,0.0,76.56825000000002,0.0,0.0,80.0,7869.519657378887,2625.803119999999 
 01/01  17:00:00,2879.2057968242645,20.004939390164294,19.944705317113085,20.388698454938934,22.07781261120572,21.371158494578606,0.0,76.56825000000002,0.0,0.0,80.0,5657.483282947147,2625.803119999999 
 01/01  18:00:00,2879.2057968242645,19.719532055969393,19.487245278121667,19.84724113499687,20.83016041765861,20.245000314142858,0.0,34.45571250000001,0.0,0.0,8.0,1381.9459970993012,1181.611404 
 01/01  19:00:00,2170.31579314564,19.224694250638664,18.8481321515642,19.083444166171444,19.690766632161997,18.997854310357977,0.0,0.0,23.639000000000004,56.635479999999997,40.0,0.0,0.0 
 01/01  20:00:00,2170.31579314564,19.00162379442783,18.553776825131345,18.671682105815674,19.06441723562918,18.623524701987856,127.26230000000001,26.798887500000008,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/01  21:00:00,2170.31579314564,18.938171253581609,18.448550161028025,18.55085950899826,18.820914986581348,18.526985841640735,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/01  22:00:00,2170.31579314564,18.95404161540264,18.37986219241477,18.61294525291826,18.68464808205106,18.76595784426916,254.52460000000003,76.56825000000002,67.53999999999999,70.79434999999998,68.0,0.0,0.0 
 01/01  23:00:00,2170.31579314564,19.836501838969207,18.906748651514865,19.18874724074975,19.09695209235974,19.0780103812718,12.72623,11.4852375,13.508000000000001,56.635479999999997,28.0,0.0,0.0 
 01/01  24:00:00,2170.31579314564,19.961391419084646,18.97560472509145,18.961101715491109,19.04075739381209,18.978435219610668,0.0,0.0,57.40899999999999,49.556045,56.0,0.0,0.0 
 01/02  01:00:00,2780.82959564914,19.95377597114866,18.87927264379816,18.88134329111459,18.92768789315479,18.88353639776162,0.0,57.42618750000001,54.032,70.79434999999998,68.0,0.0,0.0 
 01/02  02:00:00,2780.82959564914,19.913209442097594,18.83598810515708,18.843561071873727,18.91937102303357,18.875338786980146,0.0,68.91142500000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/02  03:00:00,2780.82959564914,19.870374277655988,18.911435083586914,18.953732943675033,18.905484415796889,18.874583840559393,0.0,61.25460000000002,67.53999999999999,70.79434999999998,60.0,0.0,0.0 
 01/02  04:00:00,2780.82959564914,19.814232228257283,18.77593961817554,18.859789077906087,18.736713861991477,18.707648625164084,0.0,76.56825000000002,67.53999999999999,70.79434999999998,80.0,0.0,0.0 
 01/02  05:00:00,2780.82959564914,19.759366069537227,18.75275842504688,18.893293363345316,18.707458772908024,18.789458072524064,0.0,76.56825000000002,54.032,70.79434999999998,80.0,0.0,0.0 
 01/02  06:00:00,3119.6039812842798,19.7272464472369,18.81980182854418,18.723089090779525,18.742686090715439,18.78978578531602,0.0,76.56825000000002,67.53999999999999,70.79434999999998,64.0,0.0,0.0 
