Time,DOAS:DesPer 1:Des Heat Mass Flow [kg/s],DOAS:DesPer 1:Des Heat Cap [W],DOAS:DesPer 1:Des Cool Mass Flow [kg/s],DOAS:DesPer 1:Des Sens Cool Cap [W],DOAS:DesPer 1:Des Tot Cool Cap [W],DOAS:DesPer 2:Des Heat Mass Flow [kg/s],DOAS:DesPer 2:Des Heat Cap [W],DOAS:DesPer 2:Des Cool Mass Flow [kg/s],DOAS:DesPer 2:Des Sens Cool Cap [W],DOAS:DesPer 2:Des Tot Cool Cap [W]
00:03:00,2.668804E+00,6.141254E+04,2.668804E+00,0.000000E+00,0.000000E+00,2.668804E+00,0.000000E+00,2.757241E+00,3.659957E+04,7.144670E+04
00:06:00,2.668804E+00,6.141254E+04,2.668804E+00,0.000000E+00,0.000000E+00,2.668804E+00,0.000000E+00,2.756929E+00,3.653392E+04,7.137521E+04
00:09:00,2.668804E+00,6.141254E+04,2.668804E+00,0.000000E+00,0.000000E+00,2.668804E+00,0.000000E+00,2.756618E+00,3.646831E+04,7.130378E+04
00:12:00,2.668804E+00,6.141254E+04,2.668804E+00,0.000000E+00,0.000000E+00,2.668804E+00,0.000000E+00,2.756310E+00,3.640274E+04,7.123243E+04
00:15:00,2.668804E+00,6.141254E+04,2.668804E+00,0.000000E+00,0.000000E+00,2.668804E+00,0.000000E+00,2.756003E+00,3.633721E+04,7.116115E+04
00:18:00,2.668804E+00,6.141254E+04,2.668804E+00,0.000000E+00,0.000000E+00,2.668804E+00,0.000000E+00,2.755699E+00,3.627173E+04,7.108993E+04
00:21:00,2.668804E+00,6.141254E+04,2.668804E+00,0.000000E+00,0.000000E+00,2.668804E+00,0.000000E+00,2.755398E+00,3.620630E+04,7.101882E+04
00:24:00,2.668804E+00,6.141254E+04,2.668804E+00,0.000000E+00,0.000000E+00,2.668804E+00,0.000000E+00,2.755100E+00,3.614092E+04,7.094777E+04
00:27:00,2.668804E+00,6.141254E+04,2.668804E+00,0.000000E+00,0.000000E+00,2.668804E+00,0.000000E+00,2.754803E+00,3.607557E+04,7.087684E+04
00:30:00,2.668804E+00,6.141254E+04,2.668804E+00,0.000000E+00,0.000000E+00,2.668804E+00,0.000000E+00,2.754508E+00,3.601026E+04,7.080591E+04
00:33:00,2.668804E+00,6.141254E+04,2.668804E+00,0.000000E+00,0.000000E+00,2.668804E+00,0.000000E+00,2.754214E+00,3.594498E+04,7.073504E+04
