Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,114747882.84253292,114747882.84253279,0.0,0.0 
 01/21  02:00:00,114769482.84253292,114769482.84253279,0.0,0.0 
 01/21  03:00:00,114762282.84253292,114762282.84253279,0.0,0.0 
 01/21  04:00:00,114755082.84253292,114755082.84253279,0.0,0.0 
 01/21  05:00:00,114769482.84253292,114769482.84253279,0.0,0.0 
 01/21  06:00:00,114747882.84253292,114747882.84253279,0.0,0.0 
 01/21  07:00:00,125014542.84253294,125014542.84253282,0.0,0.0 
 01/21  08:00:00,112175952.84253294,112175952.8425329,0.0,0.0 
 01/21  09:00:00,106206342.84253292,106206342.84253292,0.0,0.0 
 01/21  10:00:00,106206342.84253292,106206342.84253292,0.0,0.0 
 01/21  11:00:00,106206342.84253292,106206342.84253292,0.0,0.0 
 01/21  12:00:00,106206342.84253292,106206342.84253292,0.0,0.0 
 01/21  13:00:00,106206342.84253292,106206342.84253292,0.0,0.0 
 01/21  14:00:00,106206342.84253292,106206342.84253292,0.0,0.0 
 01/21  15:00:00,106206342.84253292,106206342.84253292,0.0,0.0 
 01/21  16:00:00,106206342.84253292,106206342.84253292,0.0,0.0 
 01/21  17:00:00,110619402.84253292,110619402.84253292,0.0,0.0 
 01/21  18:00:00,125057742.84253294,125057742.84253282,0.0,0.0 
 01/21  19:00:00,125165742.84253294,125165742.84253282,0.0,0.0 
 01/21  20:00:00,117322062.84253292,117322062.84253292,0.0,0.0 
 01/21  21:00:00,117314862.84253292,117314862.84253292,0.0,0.0 
 01/21  22:00:00,117300462.84253292,117300462.84253292,0.0,0.0 
 01/21  23:00:00,117307662.84253292,117307662.84253292,0.0,0.0 
 01/21  24:00:00,117314862.84253292,117314862.84253292,0.0,0.0 
 07/21  01:00:00,520082326.014348,520082326.0143479,152517470.7542746,224813060.55296675 
 07/21  02:00:00,520160326.014348,520160326.0143479,152517470.7542746,224813060.55296675 
 07/21  03:00:00,520298326.014348,520298326.0143479,152517470.7542746,224813060.55296675 
 07/21  04:00:00,520406326.014348,520406326.014348,152517470.7542746,224813060.55296675 
 07/21  05:00:00,516645487.27804496,516645487.27804496,151876050.01797123,224813060.55296675 
 07/21  06:00:00,486454246.70095536,486454246.7009553,127818531.44088145,224813060.55296675 
 07/21  07:00:00,478476702.7709023,478476702.7709023,120428987.51082859,224813060.55296675 
 07/21  08:00:00,477990900.6647452,477990900.6647452,119991185.40467149,224813060.55296675 
 07/21  09:00:00,464884395.9489928,464884395.9489928,119991185.40467149,224813060.55296675 
 07/21  10:00:00,460945285.81811168,460945285.81811168,119991185.40467149,224813060.55296675 
 07/21  11:00:00,460945285.81811168,460945285.81811168,119991185.40467149,224813060.55296675 
 07/21  12:00:00,460945285.81811168,460945285.81811168,119991185.40467149,224813060.55296675 
 07/21  13:00:00,460945285.81811168,460945285.81811168,119991185.40467149,224813060.55296675 
 07/21  14:00:00,460945285.81811168,460945285.81811168,119991185.40467149,224813060.55296675 
 07/21  15:00:00,460969285.81811168,460969285.81811168,119991185.40467149,224813060.55296675 
