Time,DOAS:DesPer 1:Des Heat Mass Flow [kg/s],DOAS:DesPer 1:Des Heat Cap [W],DOAS:DesPer 1:Des Cool Mass Flow [kg/s],DOAS:DesPer 1:Des Sens Cool Cap [W],DOAS:DesPer 1:Des Tot Cool Cap [W],DOAS:DesPer 2:Des Heat Mass Flow [kg/s],DOAS:DesPer 2:Des Heat Cap [W],DOAS:DesPer 2:Des Cool Mass Flow [kg/s],DOAS:DesPer 2:Des Sens Cool Cap [W],DOAS:DesPer 2:Des Tot Cool Cap [W]
00:01:00,2.695063E+00,5.010092E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.988244E+00,5.530718E+04,1.093377E+05
00:02:00,2.696352E+00,5.012486E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.989179E+00,5.528206E+04,1.093240E+05
00:03:00,2.697623E+00,5.014850E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.990056E+00,5.525613E+04,1.093088E+05
00:04:00,2.698880E+00,5.017186E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.990885E+00,5.522951E+04,1.092922E+05
00:05:00,2.700122E+00,5.019495E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.991671E+00,5.520228E+04,1.092745E+05
00:06:00,2.701350E+00,5.021778E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.992413E+00,5.517443E+04,1.092554E+05
00:07:00,2.702564E+00,5.024035E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.993113E+00,5.514598E+04,1.092353E+05
00:08:00,2.703763E+00,5.026263E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.993767E+00,5.511690E+04,1.092139E+05
00:09:00,2.704946E+00,5.028463E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.994376E+00,5.508716E+04,1.091912E+05
00:10:00,2.706114E+00,5.030635E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.994944E+00,5.505686E+04,1.091674E+05
00:11:00,2.707269E+00,5.032782E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.995475E+00,5.502603E+04,1.091426E+05
00:12:00,2.708411E+00,5.034905E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.995968E+00,5.499469E+04,1.091167E+05
00:13:00,2.709541E+00,5.037006E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.996426E+00,5.496284E+04,1.090899E+05
00:14:00,2.710659E+00,5.039083E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.996845E+00,5.493044E+04,1.090619E+05
00:15:00,2.711763E+00,5.041136E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.997224E+00,5.489749E+04,1.090329E+05
00:16:00,2.713110E+00,5.043640E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.997568E+00,5.486405E+04,1.090029E+05
00:17:00,2.714458E+00,5.046147E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.997880E+00,5.483017E+04,1.089721E+05
00:18:00,2.715797E+00,5.048635E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.998160E+00,5.479584E+04,1.089404E+05
00:19:00,2.717122E+00,5.051098E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.998409E+00,5.476108E+04,1.089078E+05
00:20:00,2.718436E+00,5.053541E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,3.998624E+00,5.472586E+04,1.088743E+05
00:21:00,2.719898E+00,5.056260E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.001089E+00,5.472140E+04,1.089020E+05
00:22:00,2.721351E+00,5.058959E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.003547E+00,5.471680E+04,1.089295E+05
00:23:00,2.722794E+00,5.061642E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.005982E+00,5.471184E+04,1.089563E+05
00:24:00,2.724226E+00,5.064305E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.008392E+00,5.470650E+04,1.089824E+05
00:25:00,2.725649E+00,5.066950E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.010778E+00,5.470077E+04,1.090078E+05
00:26:00,2.727062E+00,5.069577E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.013135E+00,5.469461E+04,1.090323E+05
00:27:00,2.728465E+00,5.072184E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.015464E+00,5.468801E+04,1.090560E+05
00:28:00,2.730000E+00,5.075038E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.017766E+00,5.468102E+04,1.090790E+05
00:29:00,2.731624E+00,5.078057E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.020046E+00,5.467366E+04,1.091013E+05
00:30:00,2.733238E+00,5.081059E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.022301E+00,5.466594E+04,1.091230E+05
00:31:00,2.734842E+00,5.084040E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.024534E+00,5.465786E+04,1.091439E+05
00:32:00,2.736435E+00,5.087001E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.026741E+00,5.464939E+04,1.091641E+05
00:33:00,2.738016E+00,5.089941E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.028921E+00,5.464053E+04,1.091836E+05
00:34:00,2.739587E+00,5.092860E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.031079E+00,5.463130E+04,1.092023E+05
00:35:00,2.741147E+00,5.095760E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.033214E+00,5.462175E+04,1.092205E+05
00:36:00,2.742697E+00,5.098641E+04,2.483230E+00,0.000000E+00,0.000000E+00,2.483230E+00,0.000000E+00,4.035329E+00,5.461187E+04,1.092380E+05
