Date/Time,PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](Hourly),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Hourly) 
 01/21  01:00:00,16.010609115123445,0.0 
 01/21  02:00:00,16.01273822320849,0.0 
 01/21  03:00:00,16.009754289396605,0.0 
 01/21  04:00:00,16.012345712258907,0.0 
 01/21  05:00:00,16.010653707673993,0.0 
 01/21  06:00:00,16.010425968216894,0.0 
 01/21  07:00:00,16.073699118345567,0.0 
 01/21  08:00:00,16.028001835787124,0.0 
 01/21  09:00:00,16.02311659245585,0.0 
 01/21  10:00:00,16.022960354199978,0.0 
 01/21  11:00:00,16.0212300000227,0.0 
 01/21  12:00:00,16.02219149250126,0.0 
 01/21  13:00:00,16.02128655571646,0.0 
 01/21  14:00:00,16.021937386698668,0.0 
 01/21  15:00:00,16.02298533338868,0.0 
 01/21  16:00:00,16.023022653318649,0.0 
 01/21  17:00:00,16.02215085413572,0.0 
 01/21  18:00:00,16.021691027472888,0.0 
 01/21  19:00:00,16.000237940764867,0.0 
 01/21  20:00:00,16.013380470832599,0.0 
 01/21  21:00:00,16.01318963163228,0.0 
 01/21  22:00:00,16.012820823247055,0.0 
 01/21  23:00:00,16.010536285360084,0.0 
 01/21  24:00:00,16.010203303875249,0.0 
 07/21  01:00:00,20.398511189010756,9177.34452961849 
 07/21  02:00:00,20.27182992424639,8998.715738667881 
 07/21  03:00:00,20.171588314298505,8847.5612415892 
 07/21  04:00:00,20.08603517440484,8711.80555165163 
 07/21  05:00:00,20.01112015698529,8589.41192183179 
 07/21  06:00:00,19.956175526771124,8498.809331537701 
 07/21  07:00:00,20.339234503048325,9091.51497274972 
 07/21  08:00:00,20.59731484496972,9431.78396438934 
 07/21  09:00:00,20.970831918444753,10020.56730148332 
 07/21  10:00:00,21.428698756664156,10764.689421640905 
 07/21  11:00:00,22.076962849862949,11854.501128214539 
 07/21  12:00:00,22.787556433572655,13054.691874283248 
 07/21  13:00:00,23.367106291859384,13569.519576793786 
 07/21  14:00:00,23.76515220651448,13496.698738228935 
 07/21  15:00:00,23.901047048013955,13492.862718822978 
 07/21  16:00:00,23.731660227610683,13483.8588145985 
 07/21  17:00:00,23.337563634323275,13474.880681650415 
 07/21  18:00:00,22.860318076402437,13268.08926477549 
 07/21  19:00:00,22.36219960046794,12278.957219227495 
 07/21  20:00:00,21.949275404843399,11523.043997173429 
 07/21  21:00:00,21.60840094899975,10963.67294545199 
 07/21  22:00:00,21.34867650610748,10556.092622261796 
 07/21  23:00:00,20.81402507551475,9717.24652953078 
 07/21  24:00:00,20.572373541599807,9410.655414057854 
 07/01  01:00:00,22.1421748393815,0.0 
 07/01  02:00:00,21.681802201023169,13527.794412582058 
 07/01  03:00:00,20.941297543277096,13445.5283748482 
 07/01  04:00:00,20.874876552573068,0.0 
 07/01  05:00:00,20.75499703806666,13502.86879677322 
 07/01  06:00:00,20.422789869186429,13073.402165062842 
 07/01  07:00:00,20.74227790753066,0.0 
 07/01  08:00:00,21.346902127441589,0.0 
 07/01  09:00:00,22.027745713364064,0.0 
 07/01  10:00:00,22.81778682732809,0.0 
 07/01  11:00:00,23.56142523565737,0.0 
 07/01  12:00:00,23.995293740386186,13799.045764095321 
 07/01  13:00:00,24.11217498793714,13455.121884270835 
 07/01  14:00:00,24.22687245362677,0.0 
 07/01  15:00:00,24.489583958601189,0.0 
 07/01  16:00:00,24.460039187666888,0.0 
 07/01  17:00:00,24.074105069200514,0.0 
 07/01  18:00:00,23.669657217724457,0.0 
 07/01  19:00:00,23.33656825366103,0.0 
 07/01  20:00:00,22.98912338645953,0.0 
 07/01  21:00:00,22.549899125498098,0.0 
 07/01  22:00:00,22.387764263531034,0.0 
 07/01  23:00:00,22.27348306293307,0.0 
 07/01  24:00:00,22.17363011080419,0.0 
 07/02  01:00:00,21.684753496358018,13526.682988366958 
 07/02  02:00:00,20.954554830266379,13446.142195745872 
 07/02  03:00:00,20.530358937073957,13454.987385189774 
 07/02  04:00:00,20.163303684432696,13452.17188295716 
 07/02  05:00:00,19.84080589506033,13411.490756885407 
 07/02  06:00:00,19.491300426857614,11829.613026584462 
 07/02  07:00:00,19.249755619563314,9450.59638455672 
 07/02  08:00:00,19.901698623261699,9335.927741417467 
 07/02  09:00:00,20.528701972225158,9717.599693620807 
 07/02  10:00:00,21.011945405589377,10191.747987298631 
 07/02  11:00:00,21.512018654164174,10859.945268804438 
 07/02  12:00:00,22.094788794368517,11754.632577709877 
 07/02  13:00:00,24.068798801579868,13521.73020094174 
 07/02  14:00:00,23.229568904593458,13389.905909109137 
 07/02  15:00:00,23.036642448030944,13126.058105631872 
 07/02  16:00:00,22.97586110447439,12943.704945309857 
 07/02  17:00:00,22.77208462428499,12543.732591873273 
 07/02  18:00:00,24.062722897606436,13505.95881976754 
 07/02  19:00:00,21.6762069692951,10472.703591499163 
 07/02  20:00:00,20.195804260765759,8282.720087554213 
 07/02  21:00:00,19.491915616857399,7422.142524363644 
 07/02  22:00:00,19.088094522220634,6953.569976873883 
 07/02  23:00:00,18.881311982865005,6732.019469724751 
 07/02  24:00:00,18.687760073814105,6464.315291194154 
