Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Each Call),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Each Call),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Each Call),CORE_BOT_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),CORE_MID_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),CORE_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call),PERI1_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Heating Rate [W](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Cooling Rate [W](Each Call),PERI2_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI3_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI4_TOP_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI1_MID_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI2_MID_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI3_MID_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI4_MID_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI1_BOT_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI2_BOT_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI3_BOT_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call),PERI4_BOT_LOTEMP:Zone Radiant HVAC Pump Inlet Temperature [C](Each Call) 
 01/21  00:01:00,-6.3,19.103653824181057,19.053989195165526,30.047667836917716,30.00206705888438,30.416804970882614,0.0,0.0,30.064033660472128,0.0,0.0,30.09843362734106,30.02682036327016,30.081568167565466,30.26262129534573,30.05908570818015,30.069950870356658,30.06721871736797,30.048148670300848,30.12736548385771,30.10856685473429,30.029292571527898 
 01/21  00:02:00,-6.3,19.09412617401615,19.041823464125195,30.03771668285353,30.00206705888438,30.416833623930335,0.0,0.0,30.064033660472128,0.0,0.0,30.09843362734106,30.02682036327016,30.09143103417019,30.21954940017573,30.05908570818015,30.069950870356658,30.06721871736797,30.048148670300848,30.12736548385771,30.208223355740399,30.029292571527898 
 01/21  00:03:00,-6.3,19.083221084153995,19.02879807233462,30.026420446376716,30.00206705888438,30.416841637400649,0.0,0.0,30.064033660472128,0.0,0.0,30.09843362734106,29.996061869260939,30.250475881378219,30.140189340972307,30.05908570818015,30.069950870356658,30.06721871736797,30.048148670300848,30.12736548385771,30.2938020004114,30.029292571527898 
 01/21  00:04:00,-6.3,19.071155157021857,19.015046398832486,30.013960872005474,30.00206705888438,30.416837408645774,0.0,0.0,30.064033660472128,0.0,0.0,30.09843362734106,30.130981721610117,30.38720312699345,30.028011682069335,30.05908570818015,30.017487604924509,30.06721871736797,30.048148670300848,30.12736548385771,30.359409044439415,30.029292571527898 
 01/21  00:05:00,-6.3,19.058111719470998,19.000681091807875,30.000503603469615,30.00206705888438,30.4168299608116,0.0,0.0,30.064033660472128,0.0,0.0,30.09843362734106,30.25811324848767,30.484259967134887,30.08485607660557,30.05908570818015,30.128189098254059,30.06721871736797,30.048148670300848,30.12736548385771,30.402327986062344,30.029292571527898 
 01/21  00:06:00,-6.3,19.0442453783742,18.9857972735003,29.986198480065807,30.00206705888438,30.416828559581928,0.0,0.0,30.064033660472128,0.0,0.0,30.09843362734106,30.366318023811336,30.53017189835673,30.08485607660557,30.05908570818015,30.229230826936165,30.06721871736797,30.048148670300848,30.12736548385771,30.42227228763868,30.029292571527898 
 01/21  00:07:00,-6.3,19.02968628952031,18.97109808131046,30.000122415014056,30.00206705888438,30.41684231045124,24487.406139408926,0.0,30.086654153176846,0.0,0.0,30.09843362734106,30.4481243961969,30.520289642342445,30.08485607660557,30.05908570818015,30.31085356247321,30.06721871736797,30.048148670300848,30.12736548385771,30.420424932307964,30.029292571527898 
 01/21  00:08:00,-6.3,19.014543984012297,18.95796768118998,30.000122415014056,30.00206705888438,30.416879763738256,24725.118753958188,0.0,30.233646075075258,0.0,0.0,30.09843362734106,30.500224927183195,30.45519845240614,30.08485607660557,30.05908570818015,30.366554860661208,30.06721871736797,30.048148670300848,30.12736548385771,30.39869181257541,30.029292571527898 
 01/21  00:09:00,-6.3,18.998910700509389,18.94776980167346,30.000122415014056,30.00206705888438,30.4169485342755,24937.461153622426,0.0,30.36495007628003,0.0,0.0,30.09843362734106,30.522471833063596,30.338634336064187,30.08485607660557,30.05908570818015,30.393566956009868,30.06721871736797,30.048148670300848,30.12736548385771,30.359238303392087,30.029292571527898 
 01/21  00:10:00,-6.3,18.983660240812087,18.941412126979068,30.000122415014056,29.98470730632046,30.41705495887143,25102.379373033567,0.0,30.466928871445249,19464.18182112736,0.0,29.941832757471013,30.516603331358565,30.175859751258029,30.08485607660557,30.05908570818015,30.39196250703743,30.06721871736797,30.048148670300848,30.12736548385771,30.30423881808127,30.029292571527898 
