Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,29989065.203772557,29989065.203772557,0.0,0.0 
 01/21  02:00:00,30007065.203772557,30007065.203772557,0.0,0.0 
 01/21  03:00:00,30049065.203772557,30049065.203772557,0.0,0.0 
 01/21  04:00:00,29947065.203772557,29947065.203772557,0.0,0.0 
 01/21  05:00:00,29965065.203772557,29965065.203772557,0.0,0.0 
 01/21  06:00:00,29965065.203772557,29965065.203772557,0.0,0.0 
 01/21  07:00:00,39599325.20377252,39599325.203772548,0.0,0.0 
 01/21  08:00:00,27311535.203772557,27311535.20377256,0.0,0.0 
 01/21  09:00:00,21305925.203772557,21305925.203772557,0.0,0.0 
 01/21  10:00:00,21263925.203772557,21263925.203772557,0.0,0.0 
 01/21  11:00:00,21275925.203772557,21275925.203772557,0.0,0.0 
 01/21  12:00:00,21299925.203772557,21299925.203772557,0.0,0.0 
 01/21  13:00:00,21245925.203772557,21245925.203772557,0.0,0.0 
 01/21  14:00:00,21275925.203772557,21275925.203772557,0.0,0.0 
 01/21  15:00:00,21299925.203772557,21299925.203772557,0.0,0.0 
 01/21  16:00:00,21269925.203772557,21269925.203772557,0.0,0.0 
 01/21  17:00:00,25698585.203772557,25698585.203772557,0.0,0.0 
 01/21  18:00:00,40133325.20377252,40133325.203772578,0.0,0.0 
 01/21  19:00:00,40895325.203772518,40895325.203772548,0.0,0.0 
 01/21  20:00:00,32492445.203772557,32492445.203772557,0.0,0.0 
 01/21  21:00:00,32462445.203772557,32462445.203772557,0.0,0.0 
 01/21  22:00:00,32486445.203772557,32486445.203772557,0.0,0.0 
 01/21  23:00:00,32540445.203772557,32540445.203772557,0.0,0.0 
 01/21  24:00:00,32552445.203772557,32552445.203772557,0.0,0.0 
 07/21  01:00:00,421627090.77084276,421627090.7708422,152517470.7542746,224813060.55296675 
 07/21  02:00:00,421567090.77084276,421567090.77084216,152517470.7542746,224813060.55296675 
 07/21  03:00:00,421561090.77084276,421561090.77084216,152517470.7542746,224813060.55296675 
 07/21  04:00:00,421537090.77084276,421537090.77084216,152517470.7542746,224813060.55296675 
 07/21  05:00:00,417857297.9524686,417857297.952468,151903095.9359005,224813060.55296675 
 07/21  06:00:00,389655560.23153027,389655560.23153027,128071818.04907707,224813060.55296675 
 07/21  07:00:00,384134773.6453392,384134773.6453392,120497854.10498229,224813060.55296675 
 07/21  08:00:00,387327296.8156631,387327296.81566306,119991185.40467149,224813060.55296675 
 07/21  09:00:00,387457272.6485502,387457272.6485502,119991185.40467149,224813060.55296675 
 07/21  10:00:00,388201149.0316845,388201149.0316845,119991185.40467149,224813060.55296675 
 07/21  11:00:00,388521052.956366,388521052.956366,119991185.40467149,224813060.55296675 
 07/21  12:00:00,388288048.1223597,388288048.1223597,119991185.40467149,224813060.55296675 
 07/21  13:00:00,388447985.2467321,388447985.24673208,119991185.40467149,224813060.55296675 
 07/21  14:00:00,389148603.425843,389148603.425843,119991185.40467149,224813060.55296675 
 07/21  15:00:00,389462359.260942,389462359.260942,119991185.40467149,224813060.55296675 
 07/21  16:00:00,389059059.2039685,389059059.2039685,119991185.40467149,224813060.55296675 
 07/21  17:00:00,388112650.6978308,388112650.6978308,119991185.40467149,224813060.55296675 
 07/21  18:00:00,387624497.01339158,387624497.01339158,120633945.22274417,224813060.55296675 
 07/21  19:00:00,396165900.9129942,396165900.9129942,130861359.31742129,224813060.55296675 
 07/21  20:00:00,424323243.29454579,424323243.2945457,152399856.5668155,224813060.55296675 
 07/21  21:00:00,427432229.38859567,427432229.38859567,152517470.7542746,224813060.55296675 
 07/21  22:00:00,427505322.77162328,427505322.77162328,152517470.7542746,224813060.55296675 
 07/21  23:00:00,424478470.77084276,424478470.7708422,152517470.7542746,224813060.55296675 
 07/21  24:00:00,424472470.77084276,424472470.7708422,152517470.7542746,224813060.55296675 
 06/01  01:00:00,66318840.919103879,66318840.919103879,7625873.53771374,44533202.00181081 
 06/01  02:00:00,73731658.72316928,73731658.72316928,7625873.53771374,44533202.00181081 
 06/01  03:00:00,74173706.8292908,74173706.8292908,7625873.53771374,44533202.00181081 
 06/01  04:00:00,76783995.46601963,76783995.46601963,7625873.53771374,44533202.00181081 
 06/01  05:00:00,79360364.49491899,79360364.49491899,15182926.566612972,44533202.00181081 
 06/01  06:00:00,93581346.30983004,93581346.30983003,11883928.064228418,55180531.87831209 
 06/01  07:00:00,159160388.09367524,159160388.09367527,31926475.21330109,95796493.41677362 
 06/01  08:00:00,332087787.49449047,332087787.4944904,93191992.01275133,204227663.7591696 
 06/01  09:00:00,303141882.6182486,303141882.6182486,93124323.85391505,174055806.61631225 
 06/01  10:00:00,297574240.5722373,297574240.5722373,93124323.85391505,167093070.3525762 
 06/01  11:00:00,304541340.83762046,304541340.8376205,93124323.85391505,174055806.61631225 
 06/01  12:00:00,307409066.62927606,307409066.62927606,93124323.85391505,177667514.30607493 
 06/01  13:00:00,310255205.63680306,310255205.63680306,93124323.85391505,179858086.83609239 
 06/01  14:00:00,297868179.9034176,297868179.90341767,93124323.85391505,167093070.3525762 
 06/01  15:00:00,297982091.979521,297982091.979521,93124323.85391505,167093070.3525762 
 06/01  16:00:00,308980827.40709748,308980827.40709748,93124323.85391505,177537174.74818046 
 06/01  17:00:00,228730921.53861503,228730921.53861503,51840329.734175968,140923939.57316477 
 06/01  18:00:00,134686676.273813,134686676.273813,31749749.592883368,69106004.40578471 
 06/01  19:00:00,126570611.84334593,126570611.84334593,34101110.27107747,59822356.054136309 
 06/01  20:00:00,125804992.50865805,125804992.50865805,26101884.990921104,59822356.054136309 
 06/01  21:00:00,116755497.29236196,116755497.29236196,26303943.895732464,55180531.87831209 
 06/01  22:00:00,106347910.19346783,106347910.19346783,13151971.947866232,55180531.87831209 
 06/01  23:00:00,99675924.2195347,99675924.21953468,6575985.973933116,55180531.87831209 
